NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
ALABAMA YOUTH SERVICES,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,0
ALBERTVILLE CITY,Alabama,AL,3,11,1,38394000,6326000,21893000,10175000,45912000,20546000,13541000,4143
MARSHALL COUNTY,Alabama,AL,3,11,1,58482000,11617000,33806000,13059000,58104000,30648000,18986000,5916
HOOVER CITY,Alabama,AL,3,11,1,154703000,10184000,60684000,83835000,154031000,81204000,53822000,13232
MADISON CITY,Alabama,AL,3,11,1,89773000,6648000,46324000,36801000,109069000,43091000,29253000,8479
AL INST DEAF AND BLIND,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,0
LEEDS CITY,Alabama,AL,3,11,1,15502000,1965000,7999000,5538000,17562000,7723000,4981000,1563
BOAZ CITY,Alabama,AL,3,11,1,22925000,2973000,13291000,6661000,25700000,11411000,7197000,2322
TRUSSVILLE CITY,Alabama,AL,3,11,1,39342000,2492000,20611000,16239000,38197000,20869000,13749000,4181
SAFETYNET ACADEMY,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,0
BRYCE ADOLESCENT SCHOOL,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,0
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL,N,11,1,-1,-1,-1,-1,-1,-1,-1,0
UCP OF GREATER BIRMINGHAM,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
BOYD SCHOOL,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
BREWERS PORCH CHILDRENS CENTER,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS COURTLAND SCH,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS MADISON SCH,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW BEGINNINGS,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW DIRECTION,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
ALEXANDER CITY,Alabama,AL,3,11,1,31900000,4127000,17586000,10187000,29342000,15992000,11689000,3197
THE BRIDGE,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
GLENWOOD MENTAL HEALTH SERVICE,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
LEARNING TREE INC,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
LEE CO YOUTH DEVELOPMENT CTR,Alabama,AL,N,11,1,-2,-2,-2,-2,-2,-2,-2,-2
