NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
FULTON COUNTY FILM CO-OP,ILLINOIS,IL,7,97,0,9000,0,0,9000,8000,0,0
FULTON/SCHUYLER CO. SPOON RIVER ACADEMY,ILLINOIS,IL,7,97,0,43000,0,33000,10000,40000,30000,24000
FULTON COUNTY AREA VOCATIONAL SYSTEM,ILLINOIS,IL,7,97,0,252000,18000,69000,165000,196000,96000,10000
FULTON COUNTY GIFTED CO-OP,ILLINOIS,IL,7,97,0,68000,0,51000,17000,73000,51000,51000
HENRY/STARK MEDIA CO-OP,ILLINOIS,IL,7,97,0,18000,6000,0,12000,10000,0,0
ROCK RIVER ALTERNATIVE SCHOOL,ILLINOIS,IL,7,97,0,273000,0,106000,167000,209000,123000,81000
JACKSON/PERRY CO REG DELIVERY SYSTEM FOR VOC EDL,ILLINOIS,IL,7,97,0,150000,0,136000,14000,186000,22000,0
REND LAKE REG DEL SYS FOR VOC ED,ILLINOIS,IL,7,97,0,351000,0,6000,345000,99000,0,0
ILLINOIS VALLEY REGIONAL VOC SYSTEM,ILLINOIS,IL,7,97,0,228000,0,216000,12000,48000,0,0
NORTHERN KANE CTY REGIONAL VOC SYSTEM,ILLINOIS,IL,7,97,0,726000,0,0,726000,0,0,0
VALLEY ED FOR EMPLOYMENT SYSTEM (VALEES),ILLINOIS,IL,7,97,0,959000,0,951000,8000,1358000,60000,0
TRAINABLE MENTALLY HANDICAPPED CO-OP,ILLINOIS,IL,7,97,0,2086000,150000,370000,1566000,2480000,1738000,1552000
KANKAKEE AREA VOCATIONAL ED REG SYSTEM,ILLINOIS,IL,7,97,0,689000,0,683000,6000,850000,154000,62000
KENDALL COUNTY CIRCULATING LIBRARY,ILLINOIS,IL,7,97,0,15000,0,0,15000,7000,2000,0
KENDALL COUNTY OUTDOOR EDUCATION,ILLINOIS,IL,7,97,0,73000,0,0,73000,68000,24000,0
CENTRAL LAKE COUNTY FILM CO-OP,ILLINOIS,IL,7,97,0,16000,0,0,16000,14000,0,0
SOUTHWEST LAKE CO. FILM COOP,ILLINOIS,IL,7,97,0,25000,0,0,25000,21000,10000,0
COMMITTEE FOR INTERDISTRICT CO-OP,ILLINOIS,IL,7,97,0,16000,0,0,16000,11000,6000,0
LASALLE COUNTY VIDEO CO-OP,ILLINOIS,IL,7,97,0,16000,0,0,16000,15000,10000,0
STARVED ROCK ASSOC FOR VOC & TECH ED,ILLINOIS,IL,7,97,0,715000,7000,75000,633000,309000,0,0
LEE COUNTY INSTRUCTIONAL MATERIALS LIBRARY CO-OP.,ILLINOIS,IL,7,97,0,5000,0,0,5000,7000,0,0
LIVINGSTON AREA VOCATIONAL EDUCATION,ILLINOIS,IL,7,97,0,488000,0,92000,396000,523000,332000,260000
LINCOLNLAND REG VOC DEL SYS,ILLINOIS,IL,7,97,0,304000,0,0,304000,164000,0,0
VIDEO CASSETTE,ILLINOIS,IL,7,97,0,11000,0,0,11000,8000,0,0
