NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
ALABAMA YOUTH SERVICES,Alabama,AL,N,13,1,-1,-1,-1,-1,-1,-1,-1,-1
ALBERTVILLE CITY,Alabama,AL,3,13,1,38214000,5043000,22710000,10461000,38123000,20503000,13420000,4422
MARSHALL COUNTY,Alabama,AL,3,13,1,55128000,8520000,34179000,12429000,53182000,29562000,17992000,5700
HOOVER CITY,Alabama,AL,3,13,1,152769000,6277000,62765000,83727000,165188000,85331000,57080000,13764
MADISON CITY,Alabama,AL,3,13,1,93497000,4838000,48482000,40177000,93475000,46318000,30904000,9375
AL INST DEAF AND BLIND,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-1
LEEDS CITY,Alabama,AL,3,13,1,15342000,1545000,8664000,5133000,17605000,8346000,5458000,1798
BOAZ CITY,Alabama,AL,3,13,1,21407000,2263000,12473000,6671000,21958000,11418000,7278000,2215
TRUSSVILLE CITY,Alabama,AL,3,13,1,40179000,991000,21075000,18113000,41247000,22004000,14217000,4233
SAFETYNET ACADEMY,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-1
BRYCE ADOLESCENT SCHOOL,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-1
ALABAMA SCHOOL OF FINE ARTS,Alabama,AL,N,13,1,-1,-1,-1,-1,-1,-1,-1,-1
UCP OF GREATER BIRMINGHAM,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
BOYD SCHOOL,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
BREWERS PORCH CHILDRENS CENTER,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS COURTLAND SCH,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS MADISON SCH,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW BEGINNINGS,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW TUSKEGEE,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THREE SPRINGS NEW DIRECTION,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
ALEXANDER CITY,Alabama,AL,3,13,1,28725000,3154000,16154000,9417000,27325000,15175000,10856000,3174
THE BRIDGE,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
GLENWOOD MENTAL HEALTH SERVICE,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
LEARNING TREE INC,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
LEE CO YOUTH DEVELOPMENT CTR,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
BAY POINT CENTER,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
PATHWAY INC,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
PRESBYTERIAN HOME FOR CHILDREN,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
BRANTWOOD CHILDREN'S HOME,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
DEVELOPING ALABAMA YOUTH PROG,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
LAUREL OAKS BEHAVIORAL HEALTH,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
MOUNTAINVIEW HOSPITAL,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-2
THE RUSHTON SCHOOL,Alabama,AL,N,13,1,-2,-2,-2,-2,-2,-2,-2,-1
