LEAID,NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33
4814670,COLUMBIA BRAZORIA IND SCH DIST 907,TEXAS,TX,3,5,1,26221000,2565000,11556000,12100000,43590000,14856000,9830000
4814700,COLUMBUS IND SCH DIST 902,TEXAS,TX,3,5,1,12877000,1285000,2922000,8670000,18442000,7185000,5050000
4814730,COMAL IND SCH DISTRICT 902,TEXAS,TX,3,5,1,107978000,5901000,11105000,90972000,113202000,55735000,37214000
4814760,COMANCHE IND SCH DIST,TEXAS,TX,3,5,1,10447000,1175000,5603000,3669000,11010000,6435000,4686000
4814790,COMFORT IND SCH DIST 902,TEXAS,TX,3,5,1,9814000,861000,2813000,6140000,9109000,5946000,4065000
4814820,COMMERCE IND SCH DIST 903,TEXAS,TX,3,5,1,17295000,3496000,7382000,6417000,15355000,9671000,6137000
4814850,COMMUNITY IND SCH DIST 918,TEXAS,TX,3,5,1,11245000,344000,6009000,4892000,10862000,6756000,4497000
4814880,COMO-PICKTON IND SCH DISTRICT 908,TEXAS,TX,3,5,1,6279000,934000,3499000,1846000,7273000,4052000,2836000
4814920,COMSTOCK IND SCH DIST 903,TEXAS,TX,3,5,1,2740000,37000,184000,2519000,3473000,1094000,737000
4814970,CONNALLY IND SCH DIST 921,TEXAS,TX,3,5,1,23237000,2883000,12530000,7824000,21678000,11937000,7831000
4815000,CONROE IND SCH DIST 902,TEXAS,TX,3,5,1,303797000,17740000,65857000,220200000,344204000,185236000,123571000
4815120,COOLIDGE IND SCH DIST 901,TEXAS,TX,3,5,1,3198000,536000,2234000,428000,3238000,1663000,1116000
4815150,COOPER IND SCH DIST 902,TEXAS,TX,3,5,1,8307000,994000,5308000,2005000,7249000,4462000,3143000
4815180,LUBBOCK COOPER IND SCH DISTRICT 906,TEXAS,TX,3,5,1,22713000,2682000,9861000,10170000,20661000,12443000,8253000
4815210,COPPELL IND SCH DIST 922,TEXAS,TX,3,5,1,121741000,2145000,9076000,110520000,109349000,47268000,33834000
4815240,COPPERAS COVE IND SCH DIST 910,TEXAS,TX,3,5,1,62606000,14905000,33269000,14432000,59478000,40295000,27013000
4815270,CORPUS CHRISTI SCH DIST 904,TEXAS,TX,3,5,1,305966000,44140000,131315000,130511000,312654000,195139000,130800000
4815300,CORRIGAN-CAMDEN IND SCH DIST 904,TEXAS,TX,3,5,1,10135000,1153000,5137000,3845000,9554000,6003000,4105000
4815330,CORSICANA IND SCH DIST 903,TEXAS,TX,3,5,1,44510000,5923000,20647000,17940000,52727000,25570000,17554000
4815360,COTTON CENTER IND SCH DIST 902,TEXAS,TX,3,5,1,1636000,153000,980000,503000,1652000,968000,649000
4815400,COTULLA IND SCH DIST 901,TEXAS,TX,3,5,1,12282000,1013000,6410000,4859000,12875000,7746000,4832000
4815420,COUPLAND IND SCH DIST 914,TEXAS,TX,1,5,1,1206000,67000,381000,758000,986000,659000,472000
