NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
ALBERTVILLE CITY SCH DIST,ALABAMA,AL,3,4,1,26092000,3070000,15023000,7999000,25608000,13736000,9496000,3621
MARSHALL CO SCH DIST,ALABAMA,AL,3,4,1,48725000,5726000,29724000,13275000,48230000,27845000,17936000,7148
HOOVER CITY SCH DIST,ALABAMA,AL,3,4,1,112144000,3113000,38667000,70364000,119123000,51426000,34134000,11197
MADISON CITY SCHOOL DISTRICT,ALABAMA,AL,3,4,1,49428000,2438000,26606000,20384000,59420000,26244000,18478000,6848
LEEDS CITY SCHOOL DISTRICT,ALABAMA,AL,3,4,1,9127000,901000,5491000,2735000,8932000,5058000,3450000,1298
BOAZ CITY SCHOOL DISTRICT,ALABAMA,AL,6,4,0,2125000,89000,50000,1986000,2401000,691000,184000,0
ALEXANDER CITY SCH DIST,ALABAMA,AL,3,4,1,24094000,2240000,14130000,7724000,23710000,13933000,9872000,3549
ANDALUSIA CTY SCH DIST,ALABAMA,AL,3,4,1,12050000,1433000,6996000,3621000,11492000,6663000,4696000,1695
ANNISTON CTY SCH DST,ALABAMA,AL,3,4,1,19258000,4490000,9903000,4865000,20732000,10712000,7060000,2652
ARAB CITY SCHOOL DISTRICT,ALABAMA,AL,3,4,1,17329000,1025000,11367000,4937000,16900000,10218000,7110000,2705
ATHENS CITY SCH DIST,ALABAMA,AL,3,4,1,23701000,2133000,10640000,10928000,24417000,13390000,9450000,2702
ATTALLA CITY SCH DIST,ALABAMA,AL,3,4,1,12567000,1513000,8537000,2517000,12750000,7359000,5020000,1823
AUBURN CITY SCHOOL DIST,ALABAMA,AL,3,4,1,41326000,3448000,17726000,20152000,39978000,22555000,14970000,4691
AUTAUGA CO SCH DIST,ALABAMA,AL,3,4,1,57121000,5141000,37190000,14790000,55179000,31225000,22262000,9105
BALDWIN CO SCH DIST,ALABAMA,AL,3,4,1,178731000,14310000,83688000,80733000,184333000,101895000,70238000,24037
BARBOUR CO SCH DIST,ALABAMA,AL,3,4,1,10939000,2493000,6819000,1627000,10925000,6024000,3801000,1427
BESSEMER CITY SCH DIST,ALABAMA,AL,3,4,1,31236000,5933000,16868000,8435000,33005000,17620000,11005000,4116
BIBB CO SCH DIST,ALABAMA,AL,3,4,1,24608000,4013000,16757000,3838000,24280000,13869000,9494000,3529
BIRMINGHAM CITY SCH DIST,ALABAMA,AL,3,4,1,269722000,42328000,138831000,88563000,264641000,153139000,92725000,34099
BLOUNT CO SCH DIST,ALABAMA,AL,3,4,1,47183000,4818000,32590000,9775000,47591000,26919000,18705000,7740
BREWTON CITY SCH DIST,ALABAMA,AL,3,4,1,9391000,775000,5583000,3033000,9381000,5270000,3895000,1381
BULLOCK CO SCH DIST,ALABAMA,AL,3,4,1,12988000,2671000,8259000,2058000,13700000,8086000,5070000,1820
BUTLER CO SCH DIST,ALABAMA,AL,3,4,1,24869000,5640000,15135000,4094000,23998000,14033000,9545000,3557
CALHOUN CO SCH DIST,ALABAMA,AL,3,4,1,58078000,6531000,38966000,12581000,57807000,33876000,21986000,9018
CHAMBERS CO SCH DIST,ALABAMA,AL,3,4,1,29142000,4106000,17883000,7153000,29174000,15986000,10847000,4396
CHEROKEE CO SCH DIST,ALABAMA,AL,3,4,1,28599000,2918000,18238000,7443000,29029000,16046000,11104000,4204
CHILTON CO SCH DIST,ALABAMA,AL,3,4,1,44068000,5151000,29448000,9469000,47247000,25808000,18534000,7102
CHOCTAW CO SCH DIST,ALABAMA,AL,3,4,1,18049000,3605000,9848000,4596000,31579000,8806000,5575000,2147
CLARKE CO SCH DIST,ALABAMA,AL,3,4,1,24456000,4222000,15179000,5055000,24838000,14120000,9199000,3547
