"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","ALASKA",131985,10042.7851649809,1737.28832821912,5553.54775163844,2751.94908512331,10628.7759972724,5491.36644315642,3520.02879115051
"AL","ALABAMA",728532,6633.81430053862,639.848352577512,3952.6554770415,2041.3104709196,6981.22388584166,3852.93576671992,2610.88737351276
"AR","ARKANSAS",449693,6614.70825652167,610.207408165126,3782.75845966026,2221.74238869629,6563.76016526831,3788.93155997536,2571.71448076799
"AZ","ARIZONA",878029,6759.88492407426,679.753174439569,3110.15809272814,2969.97365690655,6928.42491535018,3540.19855836197,2294.92761628602
"CA","CALIFORNIA",6045030,8770.1387751591,696.499769231914,5186.21495674959,2887.42404917759,8571.50022415108,4683.45136417851,3119.79460813263
"CO","COLORADO",723696,7424.09105480754,404.201487917579,3071.34901947779,3948.54054741217,7914.87862306825,4210.0232694391,2778.86156618249
"CT","CONNECTICUT",539486,11770.2590984752,490.698553808625,4455.45945585242,6824.10108881417,11133.8292374594,6288.20951794857,4476.59068075909
"DC","DISTRICT OF COLUMBIA",68925,15121.6684802321,1666.68117519042,0,13454.9873050417,14887.8636198767,7418.38229960102,4127.7185346391
"DE","DELAWARE",114771,10225.9194395797,683.186519242666,6688.24877364491,2854.48414669211,10399.9180977773,5259.90886199476,3739.18498575424
"FL","FLORIDA",2431884,7593.73802368863,643.082482552622,3750.53045293279,3200.12508820322,7561.78913138949,3941.08066009727,2439.33962310702
"GA","GEORGIA",1444937,8442.55424284934,516.268183318719,4085.48192758577,3840.80413194485,8154.09529965666,4507.38821138915,3120.18240241616
"HI","HAWAII",184360,9125.25493599479,764.553048383597,8197.64591017574,163.055977435452,7394.03341288783,4312.38338034281,2877.81514428292
"IA","IOWA",495080,8217.07602811667,483.750100993779,3926.03619617032,3807.28973095257,8506.69184778218,4632.34830734427,3000.97156015189
"ID","IDAHO",245009,6438.15125158668,504.152908668661,3960.00963229922,1973.98871061879,6295.34017117738,3646.1966703264,2500.6877298385
"IL","ILLINOIS",2025249,9107.86426755426,686.229199471275,3010.98679717901,5410.64827090397,9509.85088747112,4845.23582038554,3320.93189528794
"IN","INDIANA",987854,9236.94290856746,450.333753773331,4646.45382819728,4140.15532659685,9102.43517766796,4427.12384623639,2980.38272862184
"KS","KANSAS",468347,7861.33358385983,510.192229265908,4811.9812873788,2539.16006721512,7453.9369313778,4362.65418589208,2873.74105097289
"KY","KENTUCKY",643730,7046.60028272723,693.077843195128,4236.88502943781,2116.63741009429,6758.40492131794,4236.94561384431,2878.77060258183
"LA","LOUISIANA",737223,6758.2929452825,783.541750596495,3289.96246725889,2684.78872742712,6700.67808519268,3923.81545339741,2634.22329471544
"MA","MASSACHUSETTS",965934,10987.6326954015,507.68168425586,4481.23267221156,5998.71833893413,10944.9900303747,6077.60053999549,4409.30643294469
"MD","MARYLAND",852920,9220.43099001079,547.532007691225,3433.73821694883,5239.16076537073,9357.69122543732,5170.6103737748,3505.13412746799
"ME","MAINE",206750,9212.62877871826,515.613059250302,3909.25272067715,4787.76299879081,9425.77509068924,4981.3784764208,3545.56711003628
"MI","MICHIGAN",1705088,9836.68819439231,639.639713610089,6146.65753321823,3050.390947564,10306.6592457398,5186.54638352977,3265.4496424818
"MN","MINNESOTA",845597,9349.61926307686,421.428883971916,5630.16188562637,3298.02849347857,9809.6729293032,5083.31155384894,3492.27941915593
"MO","MISSOURI",911673,7767.89813891604,509.084946027797,2866.81408794601,4391.99910494223,7788.6314500923,4440.936607753,2994.28852231008
"MS","MISSISSIPPI",496513,5685.95585614073,777.212278429769,3060.92287613819,1847.82070157277,5901.94617260777,3314.45299518844,2280.09941330841
"MT","MONTANA",154700,7368.73949579832,832.372333548804,3476.83257918552,3059.53458306399,7298.62960568843,4031.94570135747,2797.2850678733
"NC","NORTH CAROLINA",1292536,7558.88501364759,515.86338794432,4743.11895374674,2299.90267195653,7664.36215316246,4467.60786546758,3094.08016488516
