"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",130771,18225.768710188,2691.7665231588,11530.9434048833,4003.05878214589,18989.8371963203,8106.28503261426,5135.83286814355
"AL","Alabama",744621,9584.67327674078,1060.88063592082,5302.90040168085,3220.89223913911,9699.11001704223,4995.64476424919,3279.27496001321
"AR","Arkansas",482901,10652.9537110091,1352.24611255723,5456.53456919741,3844.17302925444,11660.9222180116,5500.57258112947,3583.61651767132
"AZ","Arizona",1076322,8298.75817831467,1066.18093841806,3415.89412833706,3816.68311155955,8461.5477524384,4800.51137113243,3043.72576236479
"CA","California",6204859,11066.9897575432,1407.2663053262,5852.91414357683,3806.80930864021,11255.5716415151,5551.49810817619,3638.1315030688
"CO","Colorado",853626,10085.8397002903,795.911792752329,4387.73537825699,4902.19252928097,9915.94093900608,5388.34923022495,3485.45498848442
"CT","Connecticut",532504,18385.9933446509,910.411940567583,6821.4492285504,10654.132175533,18380.3070023887,9132.37459249132,6394.2843621832
"DC","District of Columbia",73605,26453.9908973575,2807.25494191971,0,23646.7359554378,25085.6327695129,11710.1691461178,7660.55295156579
"DE","Delaware",128946,15319.5756363129,1520.7528732958,9017.58100290044,4781.24176011664,15767.5383493866,7413.56847052254,5235.76535914259
"FL","Florida",2658559,9079.83084069227,1154.12936105612,3273.3209983303,4652.38048130585,9536.01067345129,4950.42840877332,3168.96484147991
"GA","Georgia",1683416,10421.4109881337,1098.83178014228,4437.78246137615,4884.79674661522,10351.5874863967,5751.50170843095,3917.07516145742
"HI","Hawaii",182706,13874.9575821265,1744.48567644193,11829.135332173,301.336573511543,12833.3661729774,6483.54186507285,4460.31329020393
"IA","Iowa",495870,12373.095771069,838.742008994293,5354.84300320649,6179.51075886825,12021.846451691,5973.78143465021,4287.4019400246
"ID","Idaho",279692,7306.1796547631,974.150136578808,4619.4385252349,1712.59099294939,7060.96706377015,3995.71671696008,2757.19362727572
"IL","Illinois",2071481,13862.7918865778,1038.40489002796,4468.93502764447,8355.45196890534,13539.6404794444,6518.49473878834,4472.64541649187
"IN","Indiana",1035806,12092.7065492959,1066.51342046677,7374.6599266658,3651.53320216334,11112.0093917201,5246.98543935834,3507.8306169302
"KS","Kansas",485591,11560.3851801207,844.436985034731,6534.72778531727,4181.22040976871,11564.6995104934,5681.42531471959,3810.28066829904
"KY","Kentucky",681827,10548.7609026923,1442.05494942265,5750.68309116535,3356.02286210432,10918.5013207163,5883.25190994197,3824.74733326782
"LA","Louisiana",700159,12695.9133568232,2299.46483584443,5393.23210870674,5003.21641227207,12734.3560534107,6399.3235822149,4173.26064508205
"MA","Massachusetts",952316,17015.5589111177,1065.01623410717,6513.78954044666,9436.75313656391,16893.0103033027,8507.96899348536,5891.81427173333
"MD","Maryland",853778,16108.2998156429,1006.86009712127,7004.79632878805,8096.64338973363,15474.9126822195,8078.93035426071,5425.38926981019
"ME","Maine",187751,13850.9408738169,1282.2568188718,5394.64503517957,7174.03901976554,13996.0745881513,7240.51003723016,4823.2233117267
"MI","Michigan",1538441,11081.2796850838,920.192584571004,6624.45033641199,3536.6367641008,11468.8558092251,4968.5278798472,3475.87395291727
