"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",130236,16577.3672410086,2400.77244387113,10425.281796124,3751.31300101354,18400.5344144476,7257.27909333825,4637.25851531067
"AL","Alabama",745668,9637.51964681333,977.371967148919,5580.36954784167,3079.77813182274,10481.1618575559,5108.66766442975,3325.66235911961
"AR","Arkansas",478748,9779.23040931764,1077.64836615505,5404.71396225154,3296.86808091104,10355.9701554889,5263.60214559643,3465.43693132922
"AZ","Arizona",1085330,8782.03219297357,1027.97305888532,4103.28932214165,3650.7698119466,9391.5666202906,4617.73377682364,3020.50620548589
"CA","California",6234886,11735.456109382,1540.71718392285,6395.79809478473,3798.94083067437,11866.6469603454,5978.32646819846,3874.04966185428
"CO","Colorado",818096,10144.2214605621,664.457471983728,4467.43780680996,5012.3261817684,10601.0113727484,5608.04111008977,3619.88568578749
"CT","Connecticut",548019,17303.7869124976,710.125013913751,6457.72865539333,10135.9332431905,17021.5558219697,8570.24482727789,5976.05557471547
"DC","District of Col.",68229,18157.513667209,1774.31883803075,0,16383.1948291782,17956.5580618212,10545.2813319849,5852.43811282592
"DE","Delaware",125430,14414.4542772861,926.006537510962,8819.22984931834,4669.21789045683,15016.0966276011,6759.37176114167,4746.81495654947
"FL","Florida",2623067,10100.5807324022,1027.25778640042,3449.23938275309,5624.08356324867,11005.2198437935,5262.821346157,3356.80522075875
"GA","Georgia",1650351,10836.7886588974,985.363719596619,4662.6844834826,5188.74045581819,11473.6174304739,6284.01291604028,4310.06434388806
"HI","Hawaii",179478,14986.5610269782,2188.77522593298,12285.806616967,511.979184078271,12918.9705702092,7066.56526148052,4838.72118031179
"IA","Iowa",487559,11473.0586452101,686.210284293798,5160.39084500543,5626.45751591089,11145.5311049535,5910.67542594845,4251.22292891732
"ID","Idaho",275075,8094.46514586931,811.226029264746,5446.1655912024,1837.07352540216,7710.37716986276,4337.27165318549,2992.61292374807
"IL","Illinois",2117291,12281.8889798332,1458.07024164369,3305.27499526518,7518.54374292433,12600.2434242624,6153.02478497287,4195.3189240402
"IN","Indiana",1033664,12474.712285617,1320.44745681382,5635.87393969414,5518.39088910903,10764.6604699399,5323.99890099684,3560.52740542381
"KS","Kansas",470160,11930.5470478135,805.374766037094,6992.20690828654,4132.96537348988,12382.1890420282,6093.05342862004,4039.34405308831
"KY","Kentucky",669858,10012.4533856429,1074.85019213027,5778.00071059837,3159.60248291429,10197.6926453069,5682.6551298932,3729.79049291044
"LA","Louisiana",682158,12024.0838632692,1885.06328445903,5371.94169092791,4767.07888788228,12123.9346309799,6274.52291111443,4177.96170388678
"MA","Massachusetts",958821,16329.2814821536,1259.72939683215,6233.74331600997,8835.80876931148,16151.7269646785,8087.6347097112,5012.45070769205
"MD","Maryland",843781,15582.1605369166,823.490929518441,6752.05651703463,8006.61309036349,15119.561829432,8311.84513517133,5588.52948810177
"ME","Maine",187372,13753.9867216019,1292.23683367846,5837.62782059219,6624.1220673313,13849.3051256324,7074.15195440087,4723.96089063467
"MI","Michigan",1641393,10947.3014689352,1029.2599030214,6362.33613765868,3555.70542825515,11228.7654449605,5287.75010006744,3575.68784562868
"MN","Minnesota",833507,12210.3509628593,660.359181146649,8169.23193206536,3380.75984964733,13194.7866064712,6368.76594917619,4466.08126866361
"MO","Missouri",910972,10201.4825922202,816.594802035628,3270.67462007614,6114.21317010841,11043.4821267833,5816.60687705001,3879.98643207475
"MS","Mississippi",491194,8941.68291957964,1375.37510637345,4752.42572181256,2813.88209139362,9268.75328281697,4881.60482416316,3242.77780266046
"MT","Montana",141782,11179.7407287244,1294.87523098842,5350.64394634016,4534.2215513958,11285.9954013909,5772.96130679494,3997.62311153743
"NC","North Carolina",1488101,10550.2489414361,936.790580746871,5658.7462813344,3954.71207935483,10190.1510717351,5710.81532772305,3958.91878306647
"ND","North Dakota",94653,11459.7318626985,1340.6548128427,4181.72693945253,5937.35011040326,11285.2841431333,6001.3840026201,4193.32720568815
