"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",126189,8878.31744446822,978.730317222579,5595.70168556689,2303.88544167875,9826.77570945169,5144.87792121342,3597.48472529301
"AL","Alabama",735912,4572.71113937536,455.024513800563,2906.21297111611,1211.47365445869,4854.22577699508,2914.40824446401,2012.79364924067
"AR","Arkansas",452907,4820.82193474599,424.263700936395,2862.05998140899,1534.4982524006,5072.52261501809,2872.23204763892,1968.37099007081
"AZ","Arizona",764681,5418.34307377848,495.522969708937,2351.78198490612,2571.03811916342,5742.98956035262,3113.20145263188,2045.12992999695
"CA","California",5467041,5700.62287807975,474.689324627344,3119.36383868349,2106.56971476892,5751.59176600285,3292.83793554868,2183.67120349015
"CO","Colorado",655679,5927.94492426935,297.206407403623,2535.25886905025,3095.47964781547,6213.99190762553,3467.53518108709,2392.08515142318
"CT","Connecticut",499815,9375.36288426718,324.556085751728,3407.44675529946,5643.36004321599,9079.82753618839,5432.75611976431,3938.83536908656
"DC","District of Columbia",79802,8506.97977494298,725.169795243227,0,7781.80997969976,8812.37312348061,5151.33705922157,2905.46602842034
"DE","Delaware",108461,7932.89753920764,449.894432100018,5228.81957570002,2254.1835314076,7592.86748232083,4088.88909377564,2880.81430191497
"FL","Florida",2175352,6290.68628893163,433.106458173206,3066.85400799503,2790.7258227634,6406.42985594975,3321.65277159742,2038.39470577635
"GA","Georgia",1311126,5879.56153718254,385.972820308651,3097.2652513946,2396.32346547929,6012.72722835181,3367.74268834574,2319.27061167271
"HI","Hawaii",187104,6408.30233453053,488.450273644604,5767.36467419189,152.487386694031,6582.16820591756,3648.68736103985,2434.02065161621
"IA","Iowa",502343,6485.68806572402,294.376551479766,2958.98619071033,3232.32532353392,6537.73218697185,3617.64969353609,2416.94220880952
"ID","Idaho",243097,4665.01849056138,331.085945116558,2954.45028116349,1379.48226428134,4928.9913079964,2673.41431609604,1873.27692238078
"IL","Illinois",1924970,6613.85372239567,378.394987973839,1957.51258461171,4277.94614981013,6453.35563671122,3670.95850844429,2544.12172657236
"IN","Indiana",975455,6584.2729803015,314.432751895269,3381.24977574568,2888.59045266055,6811.21630418625,3622.99747297415,2476.81543484835
"KS","Kansas",463008,6294.80268159513,302.893254544198,3582.60332434861,2409.30610270233,6495.89855898818,3711.84947128343,2517.95001382266
"KY","Kentucky",639531,5664.75745507254,477.004242171216,3553.67292594104,1634.08028696029,5983.18924336741,3391.11317512365,2245.49396354516
"LA","Louisiana",796087,4873.37816092965,588.331426087852,2484.72340334662,1800.32333149518,4792.66085239427,2884.58171029046,1926.65123284264
"MA","Massachusetts",912330,7814.88825315401,331.203621496608,3319.07752677211,4164.60710488529,8198.32297523922,4218.37493012397,3116.22658467879
"MD","Maryland",805544,7062.2064095816,337.41918504762,2685.37410743547,4039.41311709851,7231.89049884302,4093.74782755504,2727.344502597
"ME","Maine",213601,6952.86070758096,368.097527633298,3030.80041760104,3553.96276234662,6859.01751396295,3841.89212597319,2754.22399707867
"MI","Michigan",1631131,7975.87808704512,397.695218838953,5186.94084043526,2391.24202777091,8012.59126336266,4402.23072211858,2753.93699218518
"MN","Minnesota",827418,7344.39303955196,289.732638158706,4137.19305115431,2917.46735023894,7733.50470983227,3719.02835084564,2711.73820245632
"MO","Missouri",873867,6008.93957547316,371.413498850512,2346.49323066325,3291.0328459594,6039.5712391016,3490.97173826223,2382.51930785806
"MS","Mississippi",503602,4451.05658833762,585.807840318347,2552.47000607623,1312.77874194304,4504.997994448,2583.00205320868,1824.40895786752
"MT","Montana",165390,5711.48799806518,546.308724832215,2734.44585525122,2430.73341798174,5588.36084406554,3315.79297418224,2360.97103815225
"NC","North Carolina",1181600,5514.89505754909,375.017772511848,3361.38964116452,1778.48764387271,5515.49678402167,3227.51100203114,2206.06719702099
"ND","North Dakota",119102,5507.64050981512,582.44194052157,2244.34518312035,2680.8533861732,5523.07266040872,2958.37181575456,2085.89276418532
"NE","Nebraska",289251,6602.68763115771,348.783582424953,1985.67679973449,4268.22724899828,6709.76764125275,3541.03875181071,2502.45288693903
"NH","New Hampshire",191004,6645.829406714,212.676174320957,444.163473016272,5988.98975937677,6780.5176854935,3674.90209629118,2760.17256183117
"NJ","New Jersey",1193928,10375.5787618684,342.458674224911,3843.08182737988,6190.0382602636,10442.3658713088,6080.64221628105,4064.65632768475
"NM","New Mexico",329661,5310.05790797213,653.777668574687,3887.52991709665,768.750322300788,4982.44256979139,2655.74029078356,1805.13921877322
"NV","Nevada",265041,5852.56243373667,253.839971928871,1870.85394335216,3727.86851845564,6070.71736071023,3281.83564052354,2164.28778943635
"NY","New York",2788343,9333.91516036585,541.700572705725,3688.26718951004,5103.94739815008,9673.98164429555,5658.29992938458,4227.74708850382
"OH","Ohio",1837628,6624.04904583517,383.444853909496,2629.01849558235,3611.58569634333,6494.9647044995,3768.54347016915,2466.3702338014
"OK","Oklahoma",616436,4792.97931983207,424.11539884108,2909.86574437573,1458.99817661525,4819.42813203642,2898.73887962416,1970.09746348364
"OR","Oregon",527756,6222.88330213205,342.825093414381,3386.68816650119,2493.37004221648,6496.231212909,3449.23601058065,2346.47450715861
"PA","Pennsylvania",1764117,8108.62431460045,418.763608082684,3123.37333634901,4566.48737016876,8324.30955543198,4335.91536162284,3096.53611410128
"RI","Rhode Island",148977,7619.91448344375,388.15387610168,3082.16033347429,4149.60027386778,7333.07154795707,4525.31598837404,3326.31211529296
