"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",132477,18831.1254029001,2319.79890848978,12180.7936471991,4330.53284721121,19799.7690165085,8330.31394128792,5368.34318409988
"AL","Alabama",743789,10227.4946254919,1080.82668606285,5577.87759700668,3568.79034242238,10573.7460489467,5156.59817502007,3344.47807106585
"AR","Arkansas",491633,11002.2781220951,1180.25437674037,5753.65770808713,4068.36603726764,11030.8258395999,5570.3034580673,3595.1654994681
"AZ","Arizona",1097040,9024.69280974258,1171.38937504558,4214.5573543353,3638.7460803617,8574.30175745643,4408.53204987968,2794.10140013126
"CA","California",6203660,14284.7196654878,1228.55411160508,8168.7663411599,4887.39921272281,13659.9391327055,6647.08929889775,4273.10732696505
"CO","Colorado",895750,11337.758303098,775.893943622663,4967.57242534189,5594.29193413341,11071.1303377058,5927.22746301982,3723.25425620988
"CT","Connecticut",512483,21590.6381284843,902.03967741369,8290.79598737909,12397.8024636915,21108.5636011341,10325.9971550276,7168.32168091429
"DC","District of Columbia",82974,25564.7552245282,2703.56979294719,0,22861.185431581,26911.7554896715,12679.4176489021,8234.77233832285
"DE","Delaware",134847,16469.880679585,1072.31899856875,9482.91767707105,5914.64400394521,16433.8843281645,7663.64843118497,5426.80222770992
"FL","Florida",2776933,10128.2954972266,1133.38312447582,3948.17123783685,5046.74113491395,10063.3022114686,5065.47511229115,3206.80765434384
"GA","Georgia",1756019,11116.4150274,1023.26967988387,5076.66374908244,5016.48159843373,10971.1717242239,5793.70895189631,3927.36525060378
"HI","Hawaii",181995,16651.660759911,1434.82513255859,14892.5025412786,324.333086073793,15017.4125662793,7587.23041841809,5209.48377702684
"IA","Iowa",508014,13354.5020412823,724.263504549087,6997.98627596877,5632.25226076447,13092.2848582913,6712.73035782478,4733.67269405961
"ID","Idaho",292087,8149.57529777087,850.547953178334,5312.79036725359,1986.23697733894,7569.89527092955,4192.7576372793,2895.89745521026
"IL","Illinois",2030075,15632.2234400207,1045.77121534919,5487.25785993128,9099.19436474022,15751.3333251235,6992.92981786387,4800.6034259818
"IN","Indiana",1045120,12436.5489130435,928.750765462339,7732.72734231476,3775.07080526638,11353.8608006736,5291.59426668708,3479.94488671157
"KS","Kansas",495545,12248.2579785892,916.005609984966,7970.04711983775,3362.20524876651,12379.9776004197,5882.83606937816,3890.37927937927
"KY","Kentucky",686440,11284.2025522988,1282.40778509411,6219.18885845813,3782.60590874658,11342.9884622108,5997.81772623973,3873.58545539304
"LA","Louisiana",717223,12663.7949424377,1555.47019546222,5284.67296782172,5823.65177915376,12431.459950392,5945.45211182575,3852.09342143239
"MA","Massachusetts",961325,18908.5408160612,836.964606142564,7054.64645151224,11016.9297584064,18386.8910098042,9799.75866642395,6694.01295087509
"MD","Maryland",879196,16389.2021801737,936.76381603192,7205.39106183377,8247.04730230802,15914.7573464847,9550.77024918221,5731.36706718411
"ME","Maine",180402,15587.2440438576,1028.49746676866,5979.71751976142,8579.02905732752,15117.8146583741,7924.48531612732,5297.74060154544
"MI","Michigan",1486263,12022.5054381358,818.823451838605,7473.40275577068,3730.2792305265,11911.3151575461,4725.77397136308,3321.30719798582
"MN","Minnesota",862013,14363.0328080899,724.710648215282,9669.9098505475,3968.41230932712,14994.0441733477,7356.37977617507,5167.28053985265
"MO","Missouri",917392,12202.5491829011,1045.36228787694,3960.17187854265,7197.0150164815,11989.2019987094,6392.23254617437,4220.7028184244
"MS","Mississippi",486245,9779.84143795823,1420.52668922045,4959.68287591646,3399.63187282131,9524.73752943475,5150.97944451871,3337.14896811278
"MT","Montana",145208,12216.2208693736,1433.78463996474,5732.92105118175,5049.5151782271,12756.8109195086,6466.58586303785,4441.7594071952
"NC","North Carolina",1544766,9146.22279361405,1027.9718740573,5657.02896102063,2461.22195853611,9653.01476081167,5482.9449897266,3787.18459624306
"ND","North Dakota",108384,15772.6417183348,1177.10178624151,8848.02184824328,5747.51808385001,17368.2554620608,7718.42707410688,5245.83886920579
"NE","Nebraska",315542,13657.1898511133,1063.0565820081,4518.50466815828,8075.62860094694,14420.4479910757,6964.23930887172,4990.41648972245
"NH","New Hampshire",179682,17449.9059449472,940.572789706259,5559.52182188533,10949.8113333556,17288.570919736,8307.24279560557,5958.96083080108
"NJ","New Jersey",1408219,21194.5542561207,877.05392414106,8620.4830356642,11697.0172963154,20913.1193372622,10212.7105230081,6719.00890415482
"NM","New Mexico",335316,11714.8600126448,1539.70881198631,8158.59368476303,2016.55751589545,11593.1032220353,5705.337651648,3780.49362392489
"NV","Nevada",467527,9990.17810736064,867.947733499883,3563.64017479204,5558.59019906872,9850.23324856105,5196.86991339538,3350.4225424414
"NY","New York",2591989,25838.7088062488,1297.27595294579,10583.0368107272,13958.3960425758,26366.9753228119,12311.7351192463,9411.47165362199
"OH","Ohio",1714781,14020.2988020045,1027.83329183143,5909.53422040482,7082.9312897682,13804.7855673698,6420.22508996776,4288.46015905238
"OK","Oklahoma",692670,8985.01162169576,1008.11208800728,4349.30486378795,3627.59466990053,9097.57460262463,4426.75444295263,2847.71103122699
"OR","Oregon",574250,12654.9081410535,975.867653461036,6608.00174140183,5071.03874619068,12881.2189812799,5667.80844579887,3701.7187636047
"PA","Pennsylvania",1701234,17997.0985766802,853.001409565057,6315.11773218734,10828.9794349278,17897.8547336815,7191.06836566869,5130.7486212949
