"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",132197,13620.7024365152,2135.22243318683,7960.52104056824,3524.95896276012,14665.6505064411,6472.46911805866,4232.38802695976
"AL","Alabama",743273,9510.69122650762,927.077937716021,5477.05755489571,3106.55573389589,9682.12083581672,4861.81120530411,3198.67800929134
"AR","Arkansas",476197,9117.2896931312,964.231190032697,5205.3603865627,2947.6981165358,9558.44114935625,5057.76810857691,3360.476861467
"AZ","Arizona",1062307,8819.11914352442,959.189763411142,4478.38619156233,3381.54318855096,8686.32137414137,4346.45069645592,2850.24856279776
"CA","California",6273063,11474.6395819714,1133.77165190275,6730.05404218003,3610.81388788858,11587.6405194719,5683.20452066239,3700.08096523182
"CO","Colorado",792946,9607.38814496826,623.018465317941,4163.14225684977,4821.22742280054,10011.2857622083,5179.28585300891,3367.62906931872
"CT","Connecticut",556610,15662.4566572645,667.911104723235,5809.9351430984,9184.61040944288,15586.4896426582,7869.17590413395,5516.4190366684
"DC","District of Col.",73305,19635.4682490962,2440.73391992361,0,17194.7343291726,19876.7614760248,9333.46974967601,5130.45494850283
"DE","Delaware",122254,14494.7404583899,879.390449392249,9167.38920607915,4447.96080291851,14532.3179609665,6523.65566770821,4533.74940697237
"FL","Florida",2656176,10879.686436441,937.07156453488,4359.24878471909,5583.36608718699,11237.9194752155,5104.88461607966,3233.99993072748
"GA","Georgia",1628409,10843.1407588634,892.924320609871,4824.03253728025,5126.18390097328,10616.9911858753,5770.36911488453,3979.78210633815
"HI","Hawaii",180728,16519.8143065823,1420.34438493205,14834.7184719579,264.751449692355,12170.7981054402,6470.27024036121,4136.68606967376
"IA","Iowa",483122,10436.8296206755,554.077437997028,4693.40663434909,5189.34554832941,10202.9963446086,5311.36441726934,3771.07852674894
"ID","Idaho",267533,7619.1535249857,767.210026426646,5086.05667338235,1765.88682517671,7431.97287811223,4087.73497101292,2834.0728059716
