Year,State Code,State Name,Students,Total Revenue,Federal Revenue,State Revenue,Local Revenue,Total Expenditures,Salaries,Teacher Revenue
1995,WI,Wisconsin,864142,6930.366768,286.3800162,3024.163853,3619.822899,6988.984449,3821.722587,2765.282789
1995,WV,West Virginia,310231,6177.993173,502.0065693,3902.672525,1773.314079,6231.247038,3627.123015,2444.027193
1995,WY,Wyoming,100314,6322.517296,423.2310545,3029.617003,2869.669239,6409.225033,3730.286899,2530.454373
1996,AK,Alaska,126189,8878.317444,978.7303172,5595.701686,2303.885442,9826.775709,5144.877921,3597.484725
1996,AL,Alabama,735912,4572.711139,455.0245138,2906.212971,1211.473654,4854.225777,2914.408244,2012.793649
1996,AR,Arkansas,452907,4820.821935,424.2637009,2862.059981,1534.498252,5072.522615,2872.232048,1968.37099
1996,AZ,Arizona,764681,5418.343074,495.5229697,2351.781985,2571.038119,5742.98956,3113.201453,2045.12993
1996,CA,California,5467041,5700.622878,474.6893246,3119.363839,2106.569715,5751.591766,3292.837936,2183.671203
1996,CO,Colorado,655679,5927.944924,297.2064074,2535.258869,3095.479648,6213.991908,3467.535181,2392.085151
1996,CT,Connecticut,499815,9375.362884,324.5560858,3407.446755,5643.360043,9079.827536,5432.75612,3938.835369
1996,DC,District of Columbia,79802,8506.979775,725.1697952,0,7781.80998,8812.373123,5151.337059,2905.466028
1996,DE,Delaware,108461,7932.897539,449.8944321,5228.819576,2254.183531,7592.867482,4088.889094,2880.814302
1996,FL,Florida,2175352,6290.686289,433.1064582,3066.854008,2790.725823,6406.429856,3321.652772,2038.394706
1996,GA,Georgia,1311126,5879.561537,385.9728203,3097.265251,2396.323465,6012.727228,3367.742688,2319.270612
1996,HI,Hawaii,187104,6408.302335,488.4502736,5767.364674,152.4873867,6582.168206,3648.687361,2434.020652
1996,IA,Iowa,502343,6485.688066,294.3765515,2958.986191,3232.325324,6537.732187,3617.649694,2416.942209
1996,ID,Idaho,243097,4665.018491,331.0859451,2954.450281,1379.482264,4928.991308,2673.414316,1873.276922
1996,IL,Illinois,1924970,6613.853722,378.394988,1957.512585,4277.94615,6453.355637,3670.958508,2544.121727
1996,IN,Indiana,975455,6584.27298,314.4327519,3381.249776,2888.590453,6811.216304,3622.997473,2476.815435
1996,KS,Kansas,463008,6294.802682,302.8932545,3582.603324,2409.306103,6495.898559,3711.849471,2517.950014
1996,KY,Kentucky,639531,5664.757455,477.0042422,3553.672926,1634.080287,5983.189243,3391.113175,2245.493964
1996,LA,Louisiana,796087,4873.378161,588.3314261,2484.723403,1800.323331,4792.660852,2884.58171,1926.651233
1996,MA,Massachusetts,912330,7814.888253,331.2036215,3319.077527,4164.607105,8198.322975,4218.37493,3116.226585
