"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",131704,17902.4782846383,3190.12330680921,10752.6195104173,3959.73546741177,18525.7547227115,7971.21575654498,5052.16242483144
"AL","Alabama",738322,9861.92067959508,1442.8975433483,5310.8941627095,3108.12897353729,9914.83119831185,5073.90677780156,3337.62775591138
"AR","Arkansas",481890,10632.656830397,1684.51306314719,5419.72856876051,3528.41519848928,11657.1499719853,5511.23700429559,3597.41019734794
"AZ","Arizona",1069451,8791.19847473143,1277.86499802235,3588.90683163604,3924.42664507303,8960.34413918917,4792.98443780968,3013.84916185968
"CA","California",6207129,11378.38765716,1599.79549321433,6071.05668337165,3707.53548057403,11202.6173453138,5585.49161778336,3654.11126464425
"CO","Colorado",842813,10349.7311977865,1114.02410736427,4178.37883373892,5057.32825668327,10263.3537925969,5509.17937905561,3565.10756241301
"CT","Connecticut",538848,17677.3450026724,1437.97137597245,5741.78989251143,10497.5837341885,17507.697903676,9008.08391234634,6341.38940851595
"DC","District of Columbia",70843,25700.5349858137,3196.27909602925,0,22504.2558897845,26731.2084468473,10799.6555764155,6381.5902770916
"DE","Delaware",129403,14373.2216409202,1564.88644003617,8293.11530644575,4515.21989443831,14733.537862337,6988.02191602977,4973.63275967327
"FL","Florida",2636404,10034.0057897045,1786.66699033987,3439.95798822942,4807.38081113517,10238.1675949513,5133.60471308646,3283.07535567387
"GA","Georgia",1667101,10769.3966952212,1349.41374277863,4474.15303571889,4945.8299167237,10289.0088842848,5829.42365219624,3975.45559627161
"HI","Hawaii",179601,13917.0327559423,1934.08165878809,11630.6145288723,352.336568281914,12578.4600308462,6681.21001553444,4617.2348706299
"IA","Iowa",493493,12056.7059715133,980.95008439836,5088.68818807967,5987.06769903524,11661.4197161865,5872.3082191642,4234.50585925231
"ID","Idaho",275896,7799.62377127613,1084.60796821991,4968.31777191405,1746.69803114217,7310.30895699829,4167.62838170905,2884.15924841245
"IL","Illinois",2072517,13659.3673296769,1271.23685837076,4388.00308996259,8000.12738134355,13167.9006734324,6425.00158020417,4400.28043195786
"IN","Indiana",1045857,11616.3328256157,960.585433763889,7146.8068770396,3508.94051481225,10678.7457558729,5216.81071121578,3505.8339715659
"KS","Kansas",482201,11470.3826827402,1268.11848171198,6098.98569268832,4103.27850833988,11726.4729853318,5707.92677742269,3829.91117811867
"KY","Kentucky",672958,10557.2190240699,1730.69938985791,5504.24543582215,3322.2741983898,10779.0352443986,5886.62442529846,3856.20202152289
"LA","Louisiana",694357,12025.7086772366,2261.65070705703,4903.32206631459,4860.73590386501,12287.2873752263,6159.94510028703,4086.40800049542
"MA","Massachusetts",923988,16643.1977471569,1294.58607687546,6252.83228786521,9095.77938241622,16377.7992787785,8353.63554505037,5809.69558046208
"MD","Maryland",851971,15779.8094066582,1474.18632793839,6465.40668637782,7840.21639234199,15549.4694068225,8235.08311902635,5526.87474104166
"ME","Maine",186938,14117.0762498796,1544.0038943393,5579.3632113321,6993.70914420824,14543.9824968706,7324.47656442243,4907.07079352513
"MI","Michigan",1568162,11267.7229776005,1227.67099317545,6532.5431938792,3507.50879054587,11460.7929537892,5060.12516563977,3499.80422940997
"MN","Minnesota",834387,13024.0284184677,958.627111879739,7843.36165352528,4222.03965306267,12601.78789938,6508.56377196673,4631.62177742462
"MO","Missouri",916778,11098.514580411,1515.48357399501,3232.18489099869,6350.84611541725,10992.692887482,5930.68332791581,3975.37680878032
"MS","Mississippi",490526,9207.95635705345,2051.80765137832,4222.95046541875,2933.19824025638,8859.43456615959,4731.60036369122,3122.58065831373
"MT","Montana",141577,11329.7357621648,1748.26419545548,4994.44118748102,4587.03037922826,11506.2616102898,6105.41260232947,4218.34761295973
"NC","North Carolina",1490258,9916.56746684131,1399.94417074091,5160.2219213049,3356.40137479551,9490.79622454635,5351.30762592786,3682.13826062333
"ND","North Dakota",96255,12868.1834709885,1592.17702976469,6405.01792114695,4870.98852007688,12873.0767232871,6628.75694769103,4604.84130694509
"NE","Nebraska",297659,12815.5708377707,1884.25009826681,3843.20984751007,7088.11089199386,12131.2508608844,6037.43881421358,4297.04124518325
"NH","New Hampshire",188067,15595.2027734797,977.199615030813,5603.79545587477,9014.20770257408,15798.2527503496,7571.82812508308,5529.3592177256
"NJ","New Jersey",1398878,17789.8029706665,876.907778948557,6506.23714148053,10406.6580502374,17404.5449281496,9156.76921075319,6051.97022184922
"NM","New Mexico",335288,10838.6670563814,1914.54809000024,7130.09412803321,1794.02483834793,11151.645749326,5477.74152370499,3621.23308916514
"NV","Nevada",437149,9600.51835872895,1024.56599466086,3175.47106364192,5400.48130042617,9855.92326643776,5112.34155859901,3292.04687646546
"NY","New York",2680014,21568.2862104452,1911.71202837,8644.53133453781,11012.0428475374,22200.8575328338,10809.9147989525,8194.40756652764
"OH","Ohio",1752729,13482.1869210814,1529.8018119173,5927.91812082758,6024.46698833647,13308.7841874015,6364.41857240908,4150.1624038856
"OK","Oklahoma",659532,8834.80407319129,1461.6728225469,4160.88984310087,3212.24140754353,8548.7845927112,4345.29029675588,2850.67290139068
"OR","Oregon",559631,10669.7288034437,1467.64564507685,4898.74756759365,4303.33559077321,11085.2150792218,5204.01478831587,3399.72767770191
"PA","Pennsylvania",1760762,15223.1573602792,1501.51014163186,4954.55887848556,8767.08834016182,15302.8257084149,6931.48591348518,4877.9568164238
"RI","Rhode Island",143547,16004.3888064536,1703.48387636105,5783.61094275742,8517.29398733516,16314.0086522184,8440.90785596355,5812.68156074317
"SC","South Carolina",722644,10818.0833162664,1453.67013356507,4709.41708503772,4654.99609766358,11082.901124205,5404.21424657231,3557.89295974228
"SD","South Dakota",125613,10280.3690700803,2038.65841911267,2982.55753783446,5259.15311313319,10701.9496389705,5288.75992134572,3632.1320245516
"TN","Tennessee",986382,8799.72769170565,1290.39763499334,4010.08534218994,3499.24471452237,9085.16477389085,5034.30719538678,3468.78288533246
"TX","Texas",4930488,10504.8749738363,1568.29810761125,4173.58788825771,4762.98897796729,10828.2145702413,5892.50820608427,4025.99134203349
"UT","Utah",585257,7392.09099592145,887.724538108899,3779.31404494094,2725.05241287161,7743.50413578992,3478.85458866788,2381.21543185302
"VA","Virginia",1250852,11672.1578572045,1141.06305142415,4269.72255710508,6261.3722486753,11691.4111341709,6722.09741839962,4455.73497104374
"VT","Vermont",87810,16832.1034050791,542.614736362601,14746.9992028243,1542.48946589227,17376.6655278442,8374.21705956041,6016.30793759253
"WA","Washington",1042979,11179.7850196409,1232.49173760929,6420.92793814641,3526.36534388516,11365.5970062676,5890.26816455557,3927.75309953508
"WI","Wisconsin",864251,13464.8846226386,1156.50083135571,6035.75118802292,6272.63260325993,13210.849625861,6273.46453750126,4420.25406970892
"WV","West Virginia",282130,12136.192535356,1743.51185623649,6781.83461524829,3610.84606387126,12805.2564420657,6118.43121965052,4122.63849998228
"WY","Wyoming",88165,18721.9531560143,1757.55685362672,9969.70453127658,6994.69177111099,18792.6047751375,9473.09022854874,6121.61288493166
