"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",131091,19414.8873683167,2448.20773355913,13024.9139910444,3941.76564371315,20306.1613688201,8151.09351519174,5193.40000457697
"AL","Alabama",744548,9666.85693870644,1090.24401381778,5235.85719120863,3340.75573368003,9990.92738144485,5044.51559872567,3307.51005979467
"AR","Arkansas",485632,10359.4408935161,1152.04105166052,5500.94104177649,3706.45880007907,10687.592662757,5496.66619992093,3569.98920993674
"AZ","Arizona",1087858,8563.57631234959,1182.5523184092,3579.29067948206,3801.73331445832,7977.22129174947,4286.16786382046,2764.96289037724
"CA","California",6200759,11018.0563379419,1252.90097550961,5638.08204769771,4127.07331473453,11170.4023652588,5550.43971229974,3643.93842753766
"CO","Colorado",862819,10217.7884353497,780.505528969575,4329.58360907676,5107.69929730337,10063.7735144915,5427.18577129155,3501.16768406815
"CT","Connecticut",528154,18820.1036061452,805.666529080533,6927.17086304373,11087.2662140209,18378.5259602313,9382.18587760388,6558.83700587329
"DC","District of Columbia",75910,26026.8871031485,2589.73784745093,0,23437.1492556975,26027.5852983797,11776.4721380582,7642.27374522461
"DE","Delaware",128627,15970.5427320858,1244.54430251813,9304.12743825169,5421.87099131598,15666.011024124,7422.88944000871,5132.34390913261
"FL","Florida",2680074,9209.27854977139,1129.45314196548,3528.09735850577,4551.72804930013,9419.66527789904,4930.25304525174,3151.16709463992
"GA","Georgia",1702158,10271.7979177021,1054.36804338963,4488.9757590071,4728.45411530539,10190.8935598223,5568.97303305569,3792.67318310051
"HI","Hawaii",184760,12620.5347477809,1682.06321714657,10624.1773111063,314.294219528036,12697.1043515913,6463.43905607274,4453.88071011041
"IA","Iowa",499489,12315.1280608782,734.146297516061,6189.94612493969,5391.03563842247,12043.1260748485,6127.04584084935,4396.34706670217
"ID","Idaho",284670,7315.10520954087,858.084799943795,4691.03874661889,1765.98166297819,7147.24417746865,4099.38525310008,2836.92345522886
