"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","Alaska",125421,8906.54675054417,980.992018880411,5661.15722247471,2264.39750918905,9598.20923130895,5108.53844252557,2919.92569027515
"AL","Alabama",727480,4628.90663660857,452.187001704514,2971.03150602078,1205.68812888327,4609.55902567768,2878.89976356738,1994.99367680211
"AR","Arkansas",447757,4595.23804206299,441.212532690723,2779.31333290155,1374.71217647072,4812.95658135998,2821.26242582472,1929.54884010747
"AZ","Arizona",735018,5190.65519483877,512.146641306744,2270.93758248097,2407.57097105105,5518.61178909904,3032.58287552142,1988.77442457192
"CA","California",5302177,5469.13560222527,460.92067465873,2906.25982497378,2101.95510259277,5577.97052041077,3209.54336303748,2135.88418493008
"CO","Colorado",639805,5797.99626448684,314.691194973468,2466.33427372403,3016.97079578934,5886.02933706364,3267.63779589094,2252.95207133423
"CT","Connecticut",489513,9027.91958538384,301.250426444241,3314.8986850196,5411.77047392,8686.57012173323,5388.27978010799,3923.11746572614
"DC","District of Columbia",80450,8702.43629583592,814.505904288378,0,7887.93039154754,8803.28154133002,5307.88067122436,2978.17277812306
"DE","Delaware",106813,7509.52599402694,483.854961474727,4780.03613792329,2245.63489462893,7233.84793985751,3972.97145478547,2785.04489153942
"FL","Florida",2107514,6283.56917201974,445.460386028278,3093.26960580096,2744.8391801905,6393.30367437654,3318.38839504744,2032.3893459308
"GA","Georgia",1270948,5515.33579658649,360.57494091025,2855.0160982196,2299.74475745664,5699.18596197484,3233.64055807161,2215.14412863469
"HI","Hawaii",183869,6382.69093756968,448.944629056557,5777.46112721557,156.285181297554,6293.38822748805,3614.28517042024,2490.14787702114
"IA","Iowa",498837,6168.28944124032,282.757694397168,2768.94656972117,3116.58517712199,6216.00242163272,3463.95916902716,2327.07477592881
"ID","Idaho",240448,4504.98652515305,336.293086239021,2768.8647857333,1399.82865318073,4608.37686318871,2555.86239020495,1792.05067207879
"IL","Illinois",1897161,6449.86745985185,361.992471909342,1953.13312892264,4134.74185901987,6231.04364890486,3525.47464342773,2437.30500468858
"IN","Indiana",966622,6739.89832633646,302.457423894759,3451.19188265941,2986.24901978229,6597.75072365413,3555.30290020297,2436.00807761462
"KS","Kansas",460905,6133.46134235905,298.161226283074,3499.94684370966,2335.35327236632,5981.06334277129,3603.86413686118,2434.81411570714
"KY","Kentucky",639992,5482.37009212615,488.665483318541,3467.11833897924,1526.58626982837,5320.80869760872,3492.39834247928,2275.37531719147
"LA","Louisiana",797061,4757.22058913935,563.771154278029,2508.43410981092,1685.0153250504,4686.72159345395,2855.21685291339,1922.18537853439
