"State Code","State Name","Students","Total Revenue","Federal Revenue","State Revenue","Local Revenue","Total Expenditures","Salaries","Teacher Revenue"
"AK","ALASKA",128143,8833.49070959787,1135.9418774338,5403.057521675,2294.49131048906,9654.08176802479,5153.25066527239,3602.4519482141
"AL","ALABAMA",737386,5399.86926792752,510.180556723344,3388.79094531222,1500.89776589195,5375.23630771401,3096.2047014725,2126.5863469065
"AR","ARKANSAS",457349,5151.11872989774,476.95960852653,3032.92890112365,1641.23022024756,5202.80136176093,3061.47384163954,2016.7399513282
"AZ","ARIZONA",783552,5543.04245283019,517.248376623377,2434.44723515478,2591.34684105203,5656.75283835661,3084.37984971004,2039.97054439271
"CA","CALIFORNIA",5599772,6255.18288958908,473.282126486578,3643.30815611778,2138.59260698471,5945.05204854769,3446.52014403444,2275.28549376653
"CO","COLORADO",672634,6143.04510328054,304.670890855948,2652.65359764746,3185.72061477713,6532.45895985038,3592.51985477987,2474.85556781251
"CT","CONNECTICUT",507838,9428.93993753914,312.014855130967,3386.09556590881,5730.82951649936,9142.35445161646,5554.65128643386,4002.55199492752
"DC","DISTRICT OF COLUMBIA",78648,9048.22754551928,930.436883328247,0,8117.79066219103,8723.15888515919,4860.26345234462,2816.88027667582
"DE","DELAWARE",110245,8153.89360061681,514.508594494081,5223.4114925847,2415.97351353803,8069.58138691097,4222.27765431539,2983.41874914962
"FL","FLORIDA",2241298,6408.65650172356,442.701506002325,3133.2562648965,2832.69873082473,6498.35497109264,3367.87566847425,2079.66410535324
"GA","GEORGIA",1346761,6087.8381539115,389.111356803471,3301.25983749158,2397.46695961644,6263.34219657385,3579.41386779094,2469.17753038587
"HI","HAWAII",187653,6468.27921749186,510.490106739567,5800.12043505833,157.668675693967,6615.26860748296,3612.79595849787,2447.3949257406
"IA","IOWA",502941,6773.32331227719,304.528761822957,3273.73986213095,3195.05468832328,6929.91623271915,3776.91021412054,2517.53983071573
"ID","IDAHO",245252,4893.68078547779,329.265408640908,3046.86608060281,1517.54929623408,5275.0028542071,2817.02493761519,1964.64860633145
"IL","ILLINOIS",1952892,7100.29996538467,429.978206680144,2077.21522746778,4593.10653123675,7099.97071010583,3893.57988050542,2713.02406891933
"IN","INDIANA",981546,8033.38916362555,310.861640717806,3854.51929914645,3868.00822376129,7462.80459601486,3805.96732094064,2597.85685031573
"KS","KANSAS",466368,6496.0353197475,326.911366131467,3607.24149169754,2561.88246191849,6324.63633868533,3752.00914299437,2508.45040826129
"KY","KENTUCKY",631592,6084.46433773702,541.354228679274,3770.89006827192,1772.22004078582,6179.84236659109,3632.41301346439,2490.6379434825
"LA","LOUISIANA",808798,5076.7867873066,591.010363527111,2581.48882662915,1904.28759715034,4979.27541858412,3015.09153088905,2015.67016733474
"MA","MASSACHUSETTS",928519,8171.87370425376,366.170212995103,3598.25054737706,4207.4529438816,8055.20080903029,4484.0180976372,3344.77808208556
"MD","MARYLAND",818583,7379.68293990957,357.031602171069,2863.39686995699,4159.25446778152,7594.97815126872,4174.74220696008,2772.90268671595
"ME","MAINE",213241,7208.17291233862,349.351203567794,3139.57916160588,3719.24254716494,7164.02099033488,3984.31821272645,2867.15969255443
"MI","MICHIGAN",1684261,8169.58298031006,478.971489573172,5182.29656804973,2508.31492268716,8452.31350722958,4425.3414405487,2793.79264852656
"MN","MINNESOTA",836689,7509.18800175453,298.621112504168,3961.31059449808,3249.25629475229,8208.12034101082,4030.38046394777,2861.70249638755
"MO","MISSOURI",899750,6168.52903584329,373.939427618783,2421.16921367046,3373.42039455404,6143.60100027785,3588.63906640734,2446.68296749097
"MS","MISSISSIPPI",503979,4513.48171253167,606.207798340804,2486.61948216096,1420.65443202991,4602.02508437852,2608.64242359305,1831.62592092131
"MT","MONTANA",164464,6019.41458313066,550.5824982975,2829.45203813601,2639.38004669715,5910.46672828096,3453.96560949509,2445.54431364919
"NC","NORTH CAROLINA",1208695,5649.02808400796,389.889922602476,3522.82172094697,1736.31644045851,5797.73226496345,3365.43213962166,2298.5889740588
"ND","NORTH DAKOTA",118433,5769.76856112739,635.937618738021,2282.81813345942,2851.01280892994,5739.0423277296,3074.79334307161,2172.61236310826
"NE","NEBRASKA",290883,6855.0620008732,398.039761691127,2168.44917028496,4288.57306889712,6692.46741817157,3566.84990185057,2519.31532609331
"NH","NEW HAMPSHIRE",193524,6919.98925197908,229.103367024245,488.569893139869,6202.31599181497,7396.87067237139,3794.15473016267,2848.89212707468
"NJ","NEW JERSEY",1216721,10609.6097626325,351.126511336617,3943.75785410131,6314.72539719459,10881.9967765823,6175.3910715768,4198.11854977435
"NM","NEW MEXICO",332849,5312.16257221743,694.822577204678,3867.10790779002,750.232087222735,5487.54540347124,2899.20354274761,1984.13995535513
"NV","NEVADA",282131,6030.14202622186,241.487110597559,1919.9414456405,3868.7134699838,6755.51428237237,3390.39311525497,2246.88176768948
"NY","NEW YORK",2818497,9500.54124591937,514.106632009897,3717.54449268529,5268.89012122418,10015.0537680189,5714.33781905746,4262.61762918321
"OH","OHIO",1844245,6836.59708986604,394.241003771191,2770.57061290664,3671.78547318822,6724.66293795022,3898.28900173242,2567.51895762222
"OK","OKLAHOMA",620695,5094.33940985508,421.675702237009,3067.57908473566,1605.08462288241,5068.09624694899,2948.69783065757,2008.81109079338
"OR","OREGON",537675,6346.49369972567,356.220765332217,3342.96554610127,2647.30738829218,6940.96247733296,3613.57883479797,2396.65039289534
"PA","PENNSYLVANIA",1781383,8316.08362715935,426.349639577789,3138.90724229433,4750.82674528723,8646.35117770856,4464.0753841257,3194.93954977677
"RI","RHODE ISLAND",150433,7880.81072636988,420.213649930534,3130.1376692614,4330.45940717795,7815.02728789561,4720.32067432013,3493.30931378089
"SC","SOUTH CAROLINA",641925,5986.88476068076,469.467616933442,3150.11255208942,2367.3045916579,6061.27039763212,3316.30486427542,2253.60750866534
"SD","SOUTH DAKOTA",135601,5512.21598660777,520.409141525505,1956.87347438441,3034.93337069786,5243.70764227402,2976.21698955022,2090.78104143775
"TN","TENNESSEE",886517,4952.95408886688,405.169895219155,2385.51432177838,2162.26987186935,5296.46808803441,3087.65201344137,2203.50653174164
"TX","TEXAS",3826366,6031.9896214842,439.865397089562,2581.19479422512,3010.92943016951,6181.98625013917,3607.81483005024,2471.79909083449
"UT","UTAH",479812,4558.61670821072,291.872650121298,2850.71236234192,1416.0316957475,4540.8993522463,2352.39010279026,1692.73382074646
"VA","VIRGINIA",1096279,6700.01888205466,325.434492496892,2129.87478552449,4244.70960403328,6783.25499257032,3990.2853197042,2636.32524202324
"VT","VERMONT",101584,10057.6173413136,370.442195621358,2285.75366199401,7401.42148369822,10456.7943770673,4462.75003937628,3230.18388722633
"WA","WASHINGTON",974504,6842.07042762267,398.276456535838,4559.68882631575,1884.10514477108,6969.96728592186,3674.19015211841,2426.1573066914
"WI","WISCONSIN",879021,7649.10280869285,328.291360502195,4029.33832069996,3291.4731274907,7951.12175932088,4097.53578128395,2954.34125009528
"WV","WEST VIRGINIA",303441,6768.96661954054,560.969018688971,4238.87015927314,1969.12744157843,6650.99640457288,3851.50325763493,2617.741175385
"WY","WYOMING",98777,6682.51718517469,437.055184911467,3245.35063830649,3000.11136195673,7037.33662694757,3848.45662451785,2603.90576753698
