LEAID	CENSUSID	FIPST	FIPSCO	CMSA	NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32 - TOTAL SALARIES	Z33
1741910	1.45067E+13	17	131	0	WESTMER CU SCH DIST 203	Illinois	IL	3	95	1	3440000	186000	2186000	1068000	3254000	1935000	1304000
1741980	1.45022E+13	17	43	141600	WESTMONT C U SCH DIST 201	Illinois	IL	3	95	1	14595000	186000	1568000	12841000	12300000	7666000	5312000
1742060	1.45037E+13	17	73	1960	WETHERSFIELD CU SCH DIST 230	Illinois	IL	3	95	1	3211000	189000	1661000	1361000	2939000	1616000	1097000
1742180	1.45022E+13	17	43	141600	COMMUNITY UNIT SCHOO DIST 200	Illinois	IL	3	95	1	83681000	767000	11532000	71382000	100661000	43455000	31642000
1742210	1.45016E+13	17	31	141600	WHEELING COMM CONS SCH DIST 21	Illinois	IL	1	95	1	50836000	598000	6251000	43987000	54560000	24294000	16942000
1742240	1.45031E+13	17	61	0	NORTH GREEN UNIT SCH DIST 3	Illinois	IL	3	95	1	5787000	398000	4045000	1344000	5845000	3873000	2822000
1742300	1.45082E+13	17	163	822285	WHITE SIDE SCH DIST 115	Illinois	IL	1	95	1	4000000	138000	1914000	1948000	3902000	2339000	1805000
1742310	1.45098E+13	17	195	0	STERLING COMM. UNIT SCHOOL DIST	Illinois	IL	3	95	1	20284000	785000	9296000	10203000	20530000	10866000	8137000
1742450	1.45048E+13	17	95	0	WILLIAMSFIELD COMM UNIT SCH DIST	Illinois	IL	3	95	1	2074000	61000	629000	1384000	1805000	1080000	683000
1742480	1.45084E+13	17	167	7880	WILLIAMS CU SCH DIST 15	Illinois	IL	3	95	1	5599000	44000	2550000	3005000	5067000	2829000	1991000
1742510	1.45014E+13	17	27	822285	WILLOW GROVE SCH DIST 46	Illinois	IL	1	95	1	893000	53000	603000	237000	936000	474000	343000
1742570	1.45016E+13	17	31	141600	WILLOW SPRINGS SCHOOL DIST 108	Illinois	IL	1	95	1	1751000	29000	499000	1223000	1780000	895000	666000
1742600	1.45016E+13	17	31	141600	WILMETTE SCH DIST 39	Illinois	IL	1	95	1	24317000	312000	2096000	21909000	23852000	14567000	10135000
1742630	1.45099E+13	17	197	143690	WILMINGTON LORENZO CU SCH DIST 2	Illinois	IL	3	95	1	7386000	216000	3084000	4086000	8356000	4113000	3035000
1742660	1.45086E+13	17	171	0	WINCHESTER CU SCH DIST 1	Illinois	IL	3	95	1	3550000	167000	2197000	1186000	3639000	2100000	1557000
1742690	1.45087E+13	17	173	0	WINDSOR COMM UNIT SCH DIST 1	Illinois	IL	3	95	1	2262000	72000	1114000	1076000	2082000	1228000	823000
1742720	1.45022E+13	17	43	141600	WINFIELD SCH DIST 34	Illinois	IL	1	95	1	2392000	27000	348000	2017000	1962000	1132000	832000
1742790	1.45101E+13	17	201	6880	WINNEBAGO CU SCH DIST 323	Illinois	IL	3	95	1	6732000	165000	3173000	3394000	6488000	3804000	2596000
1742840	1.45016E+13	17	31	141600	WINNETKA SCH DIST 36	Illinois	IL	1	95	1	14904000	101000	1169000	13634000	14040000	9758000	6955000
1742900	1.45049E+13	17	97	143965	WINTHROP HARBOR SCH DIST 1	Illinois	IL	1	95	1	3629000	110000	1532000	1987000	3398000	2012000	1445000
1742930	1.45068E+13	17	135	0	WITT UNIT SCH DIST 66	Illinois	IL	3	95	1	1053000	87000	608000	358000	1103000	677000	469000
1742960	1.45082E+13	17	163	822285	WOLF BRANCH SCH DIST 113	Illinois	IL	1	95	1	4122000	61000	1803000	2258000	5451000	2018000	1476000
1742990	1.45091E+13	17	181	0	SHAWNEE CU SCH DIST 84	Illinois	IL	3	95	1	2714000	214000	1555000	945000	2684000	1535000	996000
1743020	1.45022E+13	17	43	141600	WOOD DALE SCH DIST 7	Illinois	IL	1	95	1	8627000	108000	948000	7571000	6723000	3817000	2510000
1743050	1.4506E+13	17	119	820275	WOOD RIVER HARTFORD SCH DT 15	Illinois	IL	1	95	1	4425000	228000	1108000	3089000	4924000	2496000	1733000
1743110	1.45049E+13	17	97	143965	WOODLAND CC SCH DIST 50	Illinois	IL	1	95	1	21711000	145000	3135000	18431000	18403000	10774000	7555000
1743170	1.45041E+13	17	81	0	WOODLAWN COMM CONS SCH DIST 4	Illinois	IL	1	95	1	1626000	58000	996000	572000	1469000	877000	709000
1743200	1.45041E+13	17	81	0	WOODLAWN H S DIST 205	Illinois	IL	2	95	1	1070000	25000	501000	544000	896000	490000	340000
1743330	1.45056E+13	17	111	141600	WOODSTOCK CU SCH DIST 200	Illinois	IL	3	95	1	19197000	777000	5325000	13095000	24212000	13912000	9270000
1743380	1.45016E+13	17	31	141600	WORTH SCH DIST 127	Illinois	IL	1	95	1	6102000	120000	1468000	4514000	5384000	3339000	2534000
1743410	1.45006E+13	17	11	0	WYANET C C SCH DIST 126	Illinois	IL	1	95	1	950000	58000	500000	392000	956000	574000	424000
1743440	1.45006E+13	17	11	0	WYANET HIGH SCH DIST 510	Illinois	IL	2	95	1	578000	6000	206000	366000	572000	341000	217000
1743800	1.45028E+13	17	55	0	ZEIGLER-ROYALTON CU SCH DIST 188	Illinois	IL	3	95	1	3627000	318000	2796000	513000	3586000	2142000	1563000
1743860	1.45049E+13	17	97	143965	ZION SCH DIST 6	Illinois	IL	1	95	1	16494000	1040000	3519000	11935000	14962000	9741000	7074000
1743890	1.45049E+13	17	97	143965	ZION-BENTON TWP H SCH DIST 126	Illinois	IL	2	95	1	15778000	347000	1827000	13604000	13908000	8407000	5116000
1743960	1.45047E+13	17	93	0	YORKVILLE CU SCH DIST 115	Illinois	IL	3	95	1	10975000	95000	2929000	7951000	10641000	5182000	3782000
1743962	1.45063E+13	17	125	6120	MIDWEST CENTRAL CU 191	Illinois	IL	3	95	1	7658000	412000	4685000	2561000	7816000	3568000	2813000
1800007	1.55028E+13	18	55	0	GREENE-SULLIVAN SPECIAL ED COOP	Indiana	IN	7	95	1	1421000	454000	140000	827000	1328000	771000	552000
1800008	1.55028E+13	18	55	0	WHITE RIVER VALLEY SCH DIST	Indiana	IN	3	95	1	7037000	334000	3252000	3451000	6652000	4181000	3127000
1800020	1.55067E+13	18	133	0	W CENTRAL EDUC SERVICE CENTER	Indiana	IN	7	95	1	756000	231000	247000	278000	654000	258000	14000
1800030	1.55003E+13	18	3	2760	SOUTHWEST ALLEN CO METRO SCH DST	Indiana	IN	3	95	1	38691000	697000	12482000	25512000	38425000	18680000	13074000
1800060	1.55001E+13	18	1	2760	ADAMS CENT COMM SCH DIST	Indiana	IN	3	95	1	7031000	237000	3973000	2821000	6544000	3684000	2449000
1800080	1.5501E+13	18	19	4520	William E. Wilson Ed Center	Indiana	IN	7	95	1	2010000	25000	555000	1430000	1558000	613000	0
1800100	1.5509E+13	18	179	2760	ADAMS-WELLS SPEC EDUC	Indiana	IN	7	95	1	3219000	484000	254000	2481000	3322000	2380000	1729000
1800120	1.55048E+13	18	95	400	ALEXANDRIA COMMUNITY SCHOOL CORP	Indiana	IN	3	95	1	10485000	626000	7142000	2717000	9732000	5379000	3759000
1800150	1.55048E+13	18	95	400	ANDERSON COMMUNITY SCH CORP	Indiana	IN	3	95	1	76635000	4998000	44858000	26779000	75291000	45369000	31957000
1800180	1.5505E+13	18	99	7800	ARGOS COMMUNITY SCHOOLS	Indiana	IN	3	95	1	4350000	118000	2508000	1724000	4155000	2252000	1523000
1800210	1.55023E+13	18	45	0	ATTICA CONS SCH CORP	Indiana	IN	3	95	1	5625000	208000	3263000	2154000	5488000	3351000	2456000
1800240	1.55015E+13	18	29	211640	SOUTH DEARBORN COMM SCH CORP	Indiana	IN	3	95	1	17850000	491000	11656000	5703000	16532000	8982000	6720000
1800270	1.55033E+13	18	63	3480	AVON COMMUNITY SCHOOL CORPORATN	Indiana	IN	3	95	1	21841000	333000	11433000	10075000	21520000	11058000	7224000
1800330	1.55014E+13	18	27	0	BARR-REEVE COMMUNITY SCHOOL INC.	Indiana	IN	3	95	1	3905000	175000	2020000	1710000	3625000	1949000	1391000
1800360	1.55004E+13	18	5	0	BARTHOLOMEW CONS SCHOOL CORP	Indiana	IN	3	95	1	70655000	3658000	32647000	34350000	73634000	40608000	27677000
1800390	1.55069E+13	18	137	0	BATESVILLE COMM SCH CORP	Indiana	IN	3	95	1	10160000	168000	5048000	4944000	9737000	5537000	3747000
1800420	1.5502E+13	18	39	2330	BAUGO COMMUNITY SCHOOLS	Indiana	IN	3	95	1	9019000	224000	4326000	4469000	8081000	4320000	2896000
1800450	1.55049E+13	18	97	3480	BEECH GROVE CITY SCHOOLS	Indiana	IN	3	95	1	13521000	300000	7484000	5737000	16508000	7273000	5131000
1800480	1.55005E+13	18	7	0	BENTON COMMUNITY SCHOOL CORP.	Indiana	IN	3	95	1	14206000	248000	6971000	6987000	13243000	8250000	5390000
1800570	1.55006E+13	18	9	0	BLACKFORD COUNTY SCHOOLS	Indiana	IN	3	95	1	13911000	623000	8670000	4618000	14256000	8960000	6339000
1800600	1.55028E+13	18	55	0	BLOOMFIELD SCH DIST	Indiana	IN	3	95	1	6535000	199000	3778000	2558000	6420000	3427000	2401000
1800610	1.55073E+13	18	145	3480	BLUE RIVER SPEC ED COOP	Indiana	IN	7	95	1	2729000	383000	839000	1507000	2688000	2014000	1727000
1800630	1.55053E+13	18	105	1020	MONROE CO COMM SCH CORP	Indiana	IN	3	95	1	68459000	2482000	29411000	36566000	62451000	34547000	22147000
1800660	1.55033E+13	18	65	0	BLUE RIVER VALLEY SCHOOLS	Indiana	IN	3	95	1	5134000	206000	3356000	1572000	4772000	2857000	2023000
1800690	1.55032E+13	18	61	4520	NORTH HARRISON COMM SCHOOL CORP	Indiana	IN	3	95	1	16132000	864000	9367000	5901000	14311000	7337000	5161000
1800720	1.5509E+13	18	179	2760	BLUFFTON-HARRISON METRO SCH DIST	Indiana	IN	3	95	1	9919000	287000	5295000	4337000	11986000	5321000	3573000
