NAME	STNAME	STABBR	SCHLEV	YEAR	CCDNF	TOTALREV	TFEDREV	TSTREV	TLOCREV	TOTALEXP	Z32	Z33	V33
TUNKHANNOCK AREA SD	Pennsylvania	PA	3	14	1	43977000	1603000	19245000	23129000	40398000	18159000	13206000	2595
TURKEYFOOT VALLEY AREA SD	Pennsylvania	PA	3	14	1	5311000	379000	3220000	1712000	5117000	2109000	1408000	410
TUSSEY MOUNTAIN SD	Pennsylvania	PA	3	14	1	16839000	1008000	11255000	4576000	16359000	6991000	4796000	1121
TWIN VALLEY SD	Pennsylvania	PA	3	14	1	54651000	1231000	12698000	40722000	49017000	22152000	16333000	3396
TYRONE AREA SD	Pennsylvania	PA	3	14	1	23881000	1718000	14451000	7712000	21094000	10594000	7113000	1870
UNION AREA SD	Pennsylvania	PA	3	14	1	10855000	213000	6497000	4145000	10168000	4773000	3359000	793
UNION CITY AREA SD	Pennsylvania	PA	3	14	1	17396000	969000	12638000	3789000	15987000	7367000	5469000	1242
UNION SD	Pennsylvania	PA	3	14	1	10691000	553000	7686000	2452000	9815000	4809000	3010000	617
UNIONTOWN AREA SD	Pennsylvania	PA	3	14	1	41582000	3933000	22943000	14706000	41804000	17102000	11969000	2883
UNIONVILLE-CHADDS FORD SD	Pennsylvania	PA	3	14	1	75857000	766000	12108000	62983000	71779000	36484000	24298000	4068
UNITED SD	Pennsylvania	PA	3	14	1	19890000	1243000	12547000	6100000	20340000	7860000	6065000	1122
UPPER ADAMS SD	Pennsylvania	PA	3	14	1	25148000	699000	10623000	13826000	24834000	11210000	7661000	1640
UPPER DARBY SD	Pennsylvania	PA	3	14	1	174405000	11650000	62317000	100438000	160055000	76488000	52798000	12430
UPPER DAUPHIN AREA SD	Pennsylvania	PA	3	14	1	18197000	957000	8825000	8415000	19925000	7896000	6172000	1254
UPPER DUBLIN SD	Pennsylvania	PA	3	14	1	87033000	587000	12804000	73642000	76589000	40969000	29561000	4268
UPPER MERION AREA SD	Pennsylvania	PA	3	14	1	85739000	1351000	10664000	73724000	75586000	41190000	27607000	4005
UPPER MORELAND TOWNSHIP SD	Pennsylvania	PA	3	14	1	55284000	1084000	10077000	44123000	51101000	26317000	17230000	3080
UPPER PERKIOMEN SD	Pennsylvania	PA	3	14	1	52012000	1005000	16287000	34720000	50519000	23563000	17591000	3263
UPPER SAINT CLAIR SD	Pennsylvania	PA	3	14	1	66262000	1903000	13051000	51308000	65995000	31551000	21445000	4133
VALLEY GROVE SD	Pennsylvania	PA	3	14	1	13356000	619000	9330000	3407000	13706000	5903000	4081000	919
VALLEY VIEW SD	Pennsylvania	PA	3	14	1	28776000	1106000	12888000	14782000	29818000	12844000	9523000	2566
WALLENPAUPACK AREA SD	Pennsylvania	PA	3	14	1	64550000	2355000	13705000	48490000	60391000	30631000	23102000	3288
WALLINGFORD-SWARTHMORE SD	Pennsylvania	PA	3	14	1	68823000	518000	12004000	56301000	75603000	31788000	23258000	3535
WARREN COUNTY SD	Pennsylvania	PA	3	14	1	72267000	4719000	40659000	26889000	92640000	29921000	21926000	4574
WARRIOR RUN SD	Pennsylvania	PA	3	14	1	21749000	1100000	9804000	10845000	20186000	9781000	7156000	1571
WARWICK SD	Pennsylvania	PA	3	14	1	64532000	1203000	18285000	45044000	56540000	28441000	21174000	4277
WAYNE HIGHLANDS SD	Pennsylvania	PA	3	14	1	48542000	1861000	15824000	30857000	45586000	23449000	16986000	2756
WASHINGTON SD	Pennsylvania	PA	3	14	1	26771000	2758000	12944000	11069000	26020000	10032000	7128000	1546
WATTSBURG AREA SD	Pennsylvania	PA	3	14	1	22096000	490000	10936000	10670000	22912000	9625000	6191000	1442
WAYNESBORO AREA SD	Pennsylvania	PA	3	14	1	51504000	1902000	20944000	28658000	49968000	21800000	16564000	4413
WEATHERLY AREA SD	Pennsylvania	PA	3	14	1	11654000	369000	4865000	6420000	11626000	4858000	3367000	652
WELLSBORO AREA SD	Pennsylvania	PA	3	14	1	24010000	1099000	9664000	13247000	21994000	10286000	7665000	1519
WEST ALLEGHENY SD	Pennsylvania	PA	3	14	1	56093000	885000	14371000	40837000	53688000	24588000	17507000	3258
WEST BRANCH AREA SD	Pennsylvania	PA	3	14	1	15799000	565000	10502000	4732000	15872000	6542000	4696000	1114
WEST CHESTER AREA SD	Pennsylvania	PA	3	14	1	209909000	2347000	31796000	175766000	201074000	86297000	62229000	11659
WEST GREENE SD	Pennsylvania	PA	3	14	1	17030000	749000	5287000	10994000	26296000	6718000	4940000	762
WEST JEFFERSON HILLS SD	Pennsylvania	PA	3	14	1	43099000	499000	12139000	30461000	39043000	18430000	13372000	2831
WEST MIDDLESEX AREA SD	Pennsylvania	PA	3	14	1	14258000	605000	7999000	5654000	13529000	6836000	4630000	1010
WEST MIFFLIN AREA SD	Pennsylvania	PA	3	14	1	46461000	1946000	15478000	29037000	45704000	20156000	14956000	2996
WEST PERRY SD	Pennsylvania	PA	3	14	1	36326000	1904000	16042000	18380000	32916000	14386000	10485000	2527
WEST SHORE SD	Pennsylvania	PA	3	14	1	100505000	2272000	26058000	72175000	89134000	47557000	35173000	7827
WEST SIDE CTC	Pennsylvania	PA	7	14	1	6558000	340000	989000	5229000	6663000	3561000	2470000	-3
WYOMING VALLEY WEST SD	Pennsylvania	PA	3	14	1	66822000	5091000	28282000	33449000	70433000	32143000	24255000	4780
WEST YORK AREA SD	Pennsylvania	PA	3	14	1	49314000	1089000	12103000	36122000	46518000	19864000	14857000	2959
MIFFLINBURG AREA SD	Pennsylvania	PA	3	14	1	27864000	1232000	12344000	14288000	26333000	11840000	8735000	2074
WESTERN BEAVER COUNTY SD	Pennsylvania	PA	3	14	1	11927000	338000	7488000	4101000	11809000	5508000	3858000	728
WESTERN WAYNE SD	Pennsylvania	PA	3	14	1	39259000	1104000	13607000	24548000	38656000	17682000	13384000	2110
WESTMONT HILLTOP SD	Pennsylvania	PA	3	14	1	21680000	717000	6796000	14167000	18962000	9251000	6778000	1573
WHITEHALL-COPLAY SD	Pennsylvania	PA	3	14	1	58915000	1636000	14801000	42478000	54431000	26344000	17723000	4172
WILKES-BARRE AREA SD	Pennsylvania	PA	3	14	1	103943000	7003000	42136000	54804000	102502000	48747000	35792000	6903
WILKINSBURG BOROUGH SD	Pennsylvania	PA	3	14	1	29647000	3559000	11676000	14412000	28562000	9928000	7254000	932
WILLIAM PENN SD	Pennsylvania	PA	3	14	1	88886000	6335000	36842000	45709000	94318000	37120000	28013000	5083
WILLIAMS VALLEY SD	Pennsylvania	PA	3	14	1	14509000	633000	9496000	4380000	13481000	6546000	4968000	1006
WILLIAMSBURG COMMUNITY SD	Pennsylvania	PA	3	14	1	7371000	384000	4800000	2187000	6510000	2888000	1884000	491
WILLIAMSPORT AREA SD	Pennsylvania	PA	3	14	1	85333000	10878000	40150000	34305000	101314000	38575000	26875000	5134
WILMINGTON AREA SD	Pennsylvania	PA	3	14	1	18513000	278000	9239000	8996000	18523000	8573000	6351000	1239
WILSON AREA SD	Pennsylvania	PA	3	14	1	35585000	943000	10850000	23792000	32894000	15813000	10631000	2187
WILSON  SD	Pennsylvania	PA	3	14	1	92906000	1881000	17918000	73107000	94969000	42308000	30006000	5866
WINDBER AREA SD	Pennsylvania	PA	3	14	1	15930000	887000	11483000	3560000	15739000	6645000	4931000	1179
WYALUSING AREA SD	Pennsylvania	PA	3	14	1	21254000	796000	10930000	9528000	19078000	9197000	6765000	1343
WYOMING AREA SD	Pennsylvania	PA	3	14	1	31431000	1258000	12834000	17339000	32409000	14766000	11183000	2378
WYOMISSING AREA SD	Pennsylvania	PA	3	14	1	31928000	639000	4957000	26332000	28663000	13877000	9780000	1899
YORK CO SCHOOL OF TECHNOLOGY	Pennsylvania	PA	7	14	1	25299000	1407000	3570000	20322000	24963000	11744000	7171000	-3
YORK CITY SD	Pennsylvania	PA	3	14	1	120559000	11207000	73672000	35680000	108619000	33833000	23514000	5123
YORK COUNTY HIGH SCHOOL	Pennsylvania	PA	7	14	0	706000	0	20000	686000	728000	524000	295000	-2
YORK SUBURBAN SD	Pennsylvania	PA	3	14	1	49634000	844000	7502000	41288000	44385000	22335000	16650000	2855
A W BEATTIE CAREER CENTER	Pennsylvania	PA	7	14	1	7660000	293000	887000	6480000	7198000	3368000	2306000	-2
FORBES ROAD CTC	Pennsylvania	PA	7	14	1	6623000	543000	1174000	4906000	6487000	3226000	1797000	-2
MCKEESPORT AREA TECH CTR	Pennsylvania	PA	7	14	1	-2	-2	-2	-2	-2	-2	-2	-2
PARKWAY WEST CTC	Pennsylvania	PA	7	14	1	5723000	320000	716000	4687000	5616000	2439000	1649000	-2
STEEL CENTER AVTS	Pennsylvania	PA	7	14	1	5705000	287000	1022000	4396000	5541000	2716000	1737000	-2
