NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Alabama Youth Services,Alabama,AL,N,16,1,-1,-1,-1,-1,-1,-1,-1,-1
Albertville City,Alabama,AL,3,16,1,49795000,7277000,28885000,13633000,46778000,23204000,14772000,5214
Marshall County,Alabama,AL,3,16,1,56422000,7747000,35295000,13380000,64739000,29355000,17341000,5635
Hoover City,Alabama,AL,3,16,1,168040000,6088000,69229000,92723000,165436000,88366000,60017000,13910
Madison City,Alabama,AL,3,16,1,105927000,5007000,56050000,44870000,101154000,51793000,34205000,10011
Al Inst Deaf And Blind,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Leeds City,Alabama,AL,3,16,1,27699000,1522000,10713000,15464000,32285000,9443000,6400000,1905
Boaz City,Alabama,AL,3,16,1,22813000,2457000,13373000,6983000,22413000,12122000,7495000,2310
Trussville City,Alabama,AL,3,16,1,47842000,971000,23259000,23612000,65049000,23627000,15257000,4456
SafetyNet Academy,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Bryce Adolescent School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Alabama School of Fine Arts,Alabama,AL,N,16,1,-1,-1,-1,-1,-1,-1,-1,-1
UCP Of Greater Birmingham,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Boyd School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Brewers Porch Childrens Center,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Three Springs Courtland Sch,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs Madison Sch,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Beginnings,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Tuskegee,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Three Springs New Tuskegee,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Three Springs New Direction,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Alexander City,Alabama,AL,3,16,1,32454000,3717000,17018000,11719000,29642000,15665000,11175000,3102
The Bridge,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Glenwood Mental Health Service,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Learning Tree Inc,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Lee Co Youth Development Ctr,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Bay Point Center,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Pathway Inc,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Presbyterian Home For Children,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Brantwood Children's Home,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Developing Alabama Youth Prog,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Laurel Oaks Behavioral Health,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Mountainview Hospital,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
The Rushton School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Wilmer Hall,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Three Springs Paint Rock Valley,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
Andalusia City,Alabama,AL,3,16,1,18650000,2360000,9571000,6719000,15978000,8073000,5636000,1745
Anniston City,Alabama,AL,3,16,1,23776000,4344000,11810000,7622000,24320000,12018000,8027000,2099
Arab City,Alabama,AL,3,16,1,23606000,1544000,15096000,6966000,26202000,13565000,9815000,2540
Athens City,Alabama,AL,3,16,1,40524000,2990000,19155000,18379000,40785000,20365000,13556000,3933
Compass Academy,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Etowah Academy,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Pointe Academy,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Alabama Correctional Facilities,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Higdon Hill School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
The Bridge II,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Attalla City,Alabama,AL,3,16,1,16009000,1940000,10917000,3152000,17120000,8804000,5801000,1638
Compass School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Alabama Clinical School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Excel Institute,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Saraland City,Alabama,AL,3,16,1,28801000,2047000,15459000,11295000,37818000,12289000,8215000,2953
Father Purcell Center,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Father Walters Ctr,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Chickasaw City,Alabama,AL,3,16,1,9219000,1619000,5489000,2111000,9386000,4782000,3032000,1032
Satsuma City,Alabama,AL,3,16,1,13229000,1148000,7742000,4339000,18106000,5952000,3944000,1308
Alabaster City,Alabama,AL,3,16,1,70450000,4244000,34451000,31755000,91470000,32155000,21280000,6103
Evergreen School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-1
McInnis School,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
St. Marys Home,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Pelham City,Alabama,AL,3,16,1,38081000,2032000,16617000,19432000,64321000,15998000,10486000,3034
Pike Road,Alabama,AL,1,16,1,9473000,326000,5276000,3871000,8943000,3694000,2563000,1125
Gardendale,Alabama,AL,N,16,1,-2,-2,-2,-2,-2,-2,-2,-2
Auburn City,Alabama,AL,3,16,1,134959000,4440000,41613000,88906000,131695000,42564000,27868000,8310
Autauga County,Alabama,AL,3,16,1,80867000,7447000,53842000,19578000,76672000,43030000,29118000,9609
Baldwin County,Alabama,AL,3,16,1,338236000,23710000,145180000,169346000,299880000,156502000,103922000,30931
Barbour County,Alabama,AL,3,16,1,10116000,2342000,5434000,2340000,10070000,5079000,2975000,912
Bessemer City,Alabama,AL,3,16,1,41288000,7480000,21905000,11903000,42030000,20919000,12683000,3740
Bibb County,Alabama,AL,3,16,1,32486000,3664000,21846000,6976000,31662000,17107000,10889000,3322
Birmingham City,Alabama,AL,3,16,1,273626000,43262000,125189000,105175000,272202000,136942000,83511000,24693
Blount County,Alabama,AL,3,16,1,69966000,6929000,48563000,14474000,68297000,36546000,24252000,7870
Brewton City,Alabama,AL,3,16,1,11443000,1045000,6727000,3671000,26652000,6067000,4243000,1158
Bullock County,Alabama,AL,3,16,1,14876000,3061000,9273000,2542000,14713000,8111000,4572000,1505
Butler County,Alabama,AL,3,16,1,32062000,6439000,18770000,6853000,31393000,16760000,10411000,3135
Calhoun County,Alabama,AL,3,16,1,86559000,8361000,54887000,23311000,93475000,45610000,29327000,9054
Chambers County,Alabama,AL,3,16,1,35550000,5072000,21545000,8933000,35428000,19245000,12139000,3729
Cherokee County,Alabama,AL,3,16,1,40647000,4419000,24019000,12209000,41646000,21049000,13469000,4042
Chilton County,Alabama,AL,3,16,1,66020000,7864000,43959000,14197000,66004000,34777000,24357000,7743
Choctaw County,Alabama,AL,3,16,1,17426000,2531000,8525000,6370000,15660000,8133000,4781000,1495
Clarke County,Alabama,AL,3,16,1,28164000,4509000,16842000,6813000,28934000,14932000,9036000,2717
Clay County,Alabama,AL,3,16,1,18425000,2182000,12797000,3446000,17663000,9671000,6645000,1978
Cleburne County,Alabama,AL,3,16,1,25205000,2707000,17402000,5096000,25478000,13393000,8657000,2631
Coffee County,Alabama,AL,3,16,1,20354000,2611000,12825000,4918000,20509000,10073000,6243000,2081
Colbert County,Alabama,AL,3,16,1,31196000,3250000,15582000,12364000,30748000,16548000,10338000,2638
Conecuh County,Alabama,AL,3,16,1,21921000,2967000,9542000,9412000,19915000,9540000,5464000,1525
Coosa County,Alabama,AL,3,16,1,10642000,1554000,5986000,3102000,10517000,5593000,3239000,1003
Covington County,Alabama,AL,3,16,1,31073000,3635000,19108000,8330000,29870000,15976000,10741000,3178
Crenshaw County,Alabama,AL,3,16,1,21294000,2690000,13343000,5261000,21222000,11204000,7475000,2239
Cullman City,Alabama,AL,3,16,1,30963000,2857000,15071000,13035000,30044000,16073000,11401000,3130
Cullman County,Alabama,AL,3,16,1,94578000,8181000,58949000,27448000,93836000,49354000,32564000,9573
Dale County,Alabama,AL,3,16,1,29011000,2786000,18692000,7533000,27492000,14720000,9678000,3079
Daleville City,Alabama,AL,3,16,1,10999000,1804000,6770000,2425000,10652000,5485000,3536000,1078
Dallas County,Alabama,AL,3,16,1,36746000,7636000,22598000,6512000,35428000,18830000,10699000,3243
Dekalb County,Alabama,AL,3,16,1,84601000,11216000,54725000,18660000,83676000,43518000,30896000,9015
Decatur City,Alabama,AL,3,16,1,99476000,9576000,45791000,44109000,109323000,49325000,34846000,8693
Demopolis City,Alabama,AL,3,16,1,19779000,2120000,12518000,5141000,19572000,10923000,7642000,2289
Dothan City,Alabama,AL,3,16,1,88129000,12655000,50399000,25075000,85409000,48079000,32952000,9336
Elba City,Alabama,AL,3,16,1,7152000,993000,4367000,1792000,7238000,3819000,2451000,615
Elmore County,Alabama,AL,3,16,1,98521000,8978000,61887000,27656000,96876000,51179000,34304000,11232
Enterprise City,Alabama,AL,3,16,1,61888000,6348000,38269000,17271000,65966000,31852000,20091000,6823
Escambia County,Alabama,AL,3,16,1,45791000,5948000,27364000,12479000,48595000,23995000,14993000,4479
Etowah County,Alabama,AL,3,16,1,79322000,7905000,53478000,17939000,79601000,42351000,27528000,8802
