NAME,STNAME,STABBR,SCHLEV,YEAR,CCDNF,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,Z32,Z33,V33
Saint Helena Unified,California,CA,3,15,1,32421000,1317000,2947000,28157000,32798000,15132000,10426000,1269
Standard Elementary,California,CA,1,15,1,33942000,3420000,19549000,10973000,41249000,15842000,10885000,3121
Stanislaus Union Elementary,California,CA,1,15,1,32705000,2798000,18801000,11106000,32220000,17104000,11889000,3292
Stockton Unified,California,CA,3,15,1,454822000,60580000,325432000,68810000,438901000,221498000,142972000,40057
Stone Corral Elementary,California,CA,3,15,1,8231000,195000,7743000,293000,7720000,3429000,2068000,702
Stony Creek Joint Unified,California,CA,3,15,1,2065000,291000,1386000,388000,2195000,1096000,627000,106
Strathmore Union Elementary,California,CA,1,15,1,8613000,1016000,6809000,788000,8287000,4536000,2960000,858
Sulphur Springs Union,California,CA,1,15,1,57521000,2420000,31400000,23701000,62223000,32773000,22725000,5437
Summerville Elementary,California,CA,1,15,1,3909000,643000,2156000,1110000,4009000,2312000,1558000,385
Summerville Union High,California,CA,3,15,1,12565000,269000,7508000,4788000,14922000,6138000,3909000,1097
Sundale Union Elementary,California,CA,1,15,1,6989000,439000,5359000,1191000,7090000,3874000,3004000,820
Sunnyside Union Elementary,California,CA,1,15,1,3869000,565000,2879000,425000,3742000,2025000,1346000,352
Sunnyvale,California,CA,1,15,1,90517000,4268000,11015000,75234000,96268000,42835000,28973000,6787
Surprise Valley Joint Unified,California,CA,3,15,1,2038000,242000,1060000,736000,2152000,975000,579000,114
Susanville Elementary,California,CA,1,15,1,9394000,831000,5677000,2886000,9022000,4545000,3256000,1012
Sutter Union High,California,CA,2,15,1,7056000,290000,4341000,2425000,7484000,3798000,2340000,726
Sweetwater Union High,California,CA,3,15,1,483820000,33669000,287551000,162600000,473497000,267740000,164524000,41018
Sylvan Union Elementary,California,CA,1,15,1,78459000,6314000,49047000,23098000,73145000,45587000,32789000,8565
Taft City,California,CA,1,15,1,26901000,2648000,12699000,11554000,25505000,11705000,7420000,2079
Taft Union High,California,CA,2,15,1,43197000,185000,1342000,41670000,30856000,13349000,7961000,1059
Tahoe-Truckee Unified,California,CA,3,15,1,70260000,3080000,10279000,56901000,65473000,34701000,21853000,3978
Tamalpais Union High,California,CA,2,15,1,84808000,1335000,4940000,78533000,79519000,40880000,26410000,4165
Tehachapi Unified,California,CA,3,15,1,42731000,2718000,22049000,17964000,39627000,21682000,14373000,4272
Temple City Unified,California,CA,3,15,1,61294000,3272000,36959000,21063000,63729000,34451000,23636000,5953
Templeton Unified,California,CA,3,15,1,22626000,891000,9642000,12093000,27100000,13762000,9304000,2487
Terra Bella Union Elementary,California,CA,1,15,1,10261000,1517000,7235000,1509000,10520000,5526000,3788000,946
Thermalito Union Elementary,California,CA,1,15,1,16682000,3057000,11915000,1710000,16350000,9293000,6105000,1409
Three Rivers Union Elementary,California,CA,1,15,1,1362000,102000,540000,720000,1103000,618000,458000,143
Tipton Elementary,California,CA,1,15,1,6568000,574000,5110000,884000,6136000,3282000,2411000,612
Torrance Unified,California,CA,3,15,1,249963000,15366000,144520000,90077000,278001000,138483000,93712000,23947
Traver Joint Elementary,California,CA,1,15,1,2704000,403000,1871000,430000,2419000,1274000,812000,226
Travis Unified,California,CA,3,15,1,55951000,6726000,37862000,11363000,55498000,29390000,19811000,5398
Tres Pinos Union Elementary,California,CA,1,15,1,1023000,3000,666000,354000,1000000,499000,379000,141
Trinidad Union Elementary,California,CA,1,15,1,1901000,200000,980000,721000,4141000,933000,693000,184
Trinity Center Elementary,California,CA,1,15,1,358000,52000,223000,83000,1045000,138000,90000,11
Trona Joint Unified,California,CA,3,15,1,6994000,3538000,2866000,590000,7197000,2818000,1741000,250
Tulare City,California,CA,1,15,1,92949000,9642000,69654000,13653000,96496000,51703000,36893000,9497
Tulare Joint Union High,California,CA,2,15,1,65250000,5515000,41171000,18564000,64622000,32837000,19542000,5325
Tulelake Basin Joint Unified,California,CA,3,15,1,6087000,717000,3890000,1480000,6038000,3690000,2531000,460
Tustin Unified,California,CA,3,15,1,235783000,14304000,93723000,127756000,229354000,130224000,89678000,24059
Twain Harte,California,CA,1,15,1,3773000,243000,970000,2560000,3509000,2032000,1409000,274
Twin Hills Union Elementary,California,CA,3,15,1,11525000,302000,6925000,4298000,11135000,5961000,4331000,1286
Two Rock Union,California,CA,1,15,1,2248000,629000,1131000,488000,2599000,1181000,792000,161
Ukiah Unified,California,CA,3,15,1,67838000,6609000,35796000,25433000,71590000,37799000,24845000,6349
Union Elementary,California,CA,1,15,1,63222000,1709000,14992000,46521000,56213000,30105000,21374000,5533
